accx,accy,accz,gyrox,gyroy,gyroz
-5.92,-5.69,-4.32,0.16,0.15,-0.06
-5.01,-6.79,-4.20,-0.12,0.08,-0.11
-7.40,-6.84,-4.46,0.00,-0.20,0.04
-5.70,-6.15,-4.92,-0.02,0.09,-0.09
-5.89,-4.58,-4.98,-0.04,0.01,-0.07
-3.39,-5.10,-5.97,0.33,0.25,-0.14
-1.31,-4.64,-5.86,0.22,-0.45,-0.41
-4.27,-3.00,-5.06,-0.10,-0.87,-0.69
0.58,0.03,-5.59,0.19,-0.20,-1.08
-3.33,-1.57,-3.00,1.17,-1.30,-0.45
-2.09,-6.47,-1.60,-0.25,-1.49,-1.54
-3.14,-0.70,0.05,1.51,-1.71,0.37
-6.98,-16.98,-1.10,2.01,-0.44,-0.21
-8.50,-26.74,0.69,-2.34,-1.71,-0.34
-0.72,-5.05,-1.24,-4.37,-1.38,-3.41
-1.16,1.24,-5.09,-2.05,-0.66,-2.10
-3.16,-19.61,-6.34,-1.27,-2.53,1.29
1.53,-1.03,-0.21,-2.75,-4.37,1.66
-37.74,-17.48,0.39,1.27,-4.37,3.17
18.90,28.61,15.04,-3.14,4.37,-4.37
-12.87,53.83,76.56,4.37,0.50,-4.37
78.45,50.64,78.45,4.37,4.37,-4.37
-15.94,-0.99,58.31,4.37,-4.37,-4.37
-11.74,7.63,-5.63,-4.37,4.37,-4.28
-31.93,-38.20,-20.02,2.86,-4.37,4.37
-3.95,-7.33,5.18,3.31,-1.64,-0.84
-5.32,-9.19,2.04,-0.80,0.76,4.37
13.58,-7.64,16.35,-3.10,-4.37,4.37
-17.19,-5.51,0.64,-2.93,1.08,-3.68
-0.06,-18.42,8.71,4.37,-0.82,4.37
14.13,-15.83,8.29,-3.68,-0.32,-1.59
-0.07,-1.39,2.57,-2.80,-3.31,0.37
-10.04,-6.97,-1.43,0.17,1.08,-0.30
4.79,-12.20,1.53,1.21,1.74,0.65
3.91,-12.11,2.26,-0.26,-1.15,0.60
-2.90,-11.26,1.88,-2.12,-1.08,0.15
6.95,1.76,0.92,1.51,0.94,-1.16
-3.06,-18.61,1.48,0.39,-0.14,0.46
-0.69,-6.27,2.50,0.47,-0.54,0.43
3.77,-7.37,5.54,1.16,0.68,-0.45
4.30,-9.56,5.10,0.93,0.54,-0.98
2.77,-10.79,2.73,-0.47,-0.03,-0.42
2.67,-7.59,1.46,-0.62,-0.88,0.48
-1.49,-11.31,0.52,-0.05,-0.52,0.39
0.31,-9.85,0.27,-1.12,0.13,-0.13
3.30,-6.27,0.66,0.51,-0.08,-0.70
-0.44,-10.80,0.80,0.38,0.11,-0.02
2.12,-11.29,2.08,-0.25,0.50,0.00
-0.45,-8.43,1.39,-0.51,-0.51,-0.27
-0.85,-10.35,0.53,0.22,0.31,0.39
1.57,-10.08,0.69,-0.03,0.09,-0.56
0.62,-9.53,1.38,0.07,0.21,0.13
0.79,-10.64,0.93,-0.19,-0.24,0.03
1.74,-7.68,0.37,-0.24,-0.38,0.09
0.92,-10.39,0.16,0.28,-0.04,-0.20
1.20,-10.36,0.84,-0.16,-0.64,0.60
-1.40,-12.01,2.34,-0.22,-1.29,0.81
