accx,accy,accz,gyrox,gyroy,gyroz
-0.05,6.81,-2.19,0.78,0.28,0.60
0.93,5.99,-2.03,1.32,-0.00,0.34
0.68,7.27,-5.40,1.06,-0.07,0.77
4.34,10.88,-4.25,0.30,-0.74,0.91
0.78,8.18,-7.64,0.22,-0.27,0.25
5.76,11.03,-3.38,-1.64,-0.74,0.30
4.34,9.40,-8.90,-1.05,-0.07,0.34
4.32,10.34,-4.31,0.10,0.66,-0.38
5.31,10.58,-2.47,-1.09,0.09,-1.20
3.48,7.57,-6.13,-3.32,-1.39,-1.37
6.13,8.24,0.76,-2.15,0.71,-0.48
0.06,-0.03,-4.33,0.74,1.43,-1.35
-5.21,28.06,23.06,-3.11,1.74,-1.89
-0.30,-9.64,4.51,-2.21,0.60,-3.91
-4.97,8.92,16.48,-4.37,0.55,2.63
-10.64,0.45,9.66,-4.31,-1.58,-2.47
-3.82,4.21,10.16,3.22,-1.17,1.53
-0.29,3.13,1.08,0.71,0.97,1.10
-1.16,0.52,9.39,-1.22,1.17,-0.91
-4.41,5.56,15.10,-0.67,0.95,-1.68
-3.69,4.99,14.98,-2.32,-0.35,-0.15
1.55,0.06,8.78,-0.75,-0.97,0.21
-2.26,1.75,7.35,0.96,0.66,-0.33
-3.60,3.57,9.96,-0.70,-0.28,-0.84
-1.46,0.65,7.96,-0.27,-0.83,-0.10
-0.35,0.94,8.40,0.11,0.38,-0.16
-3.56,0.90,10.14,-0.21,-0.05,-0.15
-2.03,2.25,7.97,0.19,0.00,0.22
-2.01,2.25,8.40,0.25,0.25,0.07
-2.28,2.61,8.74,0.19,0.21,0.04
-2.33,2.19,8.46,0.27,0.10,0.13
-2.75,2.35,8.96,0.37,0.10,0.12
-2.18,2.01,9.28,0.78,0.32,0.29
-2.55,2.42,9.28,0.85,0.51,0.36
-3.02,3.92,10.25,1.78,1.24,0.32
-5.02,4.85,10.01,2.02,1.31,0.37
-5.86,5.22,9.66,1.55,0.80,0.74
-6.22,6.33,7.98,2.25,0.25,0.65
-3.59,5.32,5.52,2.40,-0.01,0.72
-3.66,6.29,5.79,1.54,0.49,0.60
-4.60,8.56,2.80,2.00,0.43,0.60
-1.11,6.10,-0.01,2.45,0.64,2.20
0.67,6.19,-1.19,2.09,0.84,1.70
1.78,7.41,-3.33,1.72,0.76,1.71
2.60,7.62,-4.28,1.37,0.35,1.16
3.26,8.19,-4.71,0.02,0.33,1.03
2.86,8.54,-3.97,0.58,0.66,0.47
3.50,8.10,-4.47,0.24,0.51,0.39
3.87,8.34,-4.59,-0.20,0.10,0.54
3.23,8.07,-3.43,-0.47,-0.10,0.25
3.76,8.72,-3.62,-0.45,0.02,0.34
3.49,8.66,-2.81,-0.33,0.02,0.20
3.35,8.88,-2.35,0.03,-0.13,0.36
2.96,9.35,-2.30,-0.08,-0.63,0.33
3.37,8.99,-1.91,-0.59,-0.98,0.21
4.27,8.83,-2.51,-0.50,-0.52,0.00
3.62,8.94,-2.37,-0.29,-0.12,-0.14
0.56,9.45,1.29,-0.06,0.07,0.07
0.82,9.43,1.12,0.10,0.13,0.07
0.58,8.65,0.79,0.48,0.16,0.02
0.60,7.45,-0.00,0.72,0.08,0.03
1.03,6.50,-0.43,0.47,0.08,0.05
0.32,3.70,-0.58,0.17,-0.01,-0.17
-0.07,6.37,-1.53,-0.05,0.05,-0.06
2.30,6.81,-2.30,0.27,-0.08,0.10
1.63,8.86,0.68,-1.43,-1.00,0.53
1.14,6.83,0.98,-1.00,-0.23,-0.22
1.37,7.32,1.58,-0.72,-0.00,-0.33
1.21,6.30,1.56,0.15,-0.48,0.10
2.46,5.90,0.48,0.50,-0.52,0.15
2.40,7.76,-2.58,0.64,0.51,-0.63
5.67,11.98,-3.23,-1.01,0.10,-0.22
4.66,15.69,-3.85,-2.02,0.83,-0.81
4.92,16.59,0.77,-1.19,-1.36,2.15
-2.36,4.60,0.28,1.31,1.52,-1.58
-1.62,4.55,-6.37,4.20,1.80,-2.03
-3.00,14.85,3.19,-2.84,-1.44,-4.37
-15.30,-5.62,-1.72,-4.37,0.27,-3.98
-10.29,6.78,4.49,0.66,-0.49,0.89
-0.57,1.01,3.51,-2.17,-4.37,1.93
-3.01,1.70,8.04,-0.67,0.68,2.08
-4.30,2.36,9.42,0.15,0.96,-1.00
-4.26,7.05,14.16,2.09,2.18,-1.16
-0.53,6.08,11.90,-1.10,-0.66,-0.30
0.37,0.83,7.80,-1.58,-1.01,0.15
-1.27,2.29,7.95,-0.13,0.29,-0.28
-2.38,2.24,9.26,-0.17,-0.37,-0.30
-2.58,1.86,8.74,0.27,-0.17,-0.17
-2.11,1.96,8.09,-0.02,-0.24,-0.09
-0.36,2.65,8.66,0.19,0.18,-0.05
-2.12,3.59,8.92,0.36,0.21,-0.08
-1.47,3.73,8.15,0.14,-0.06,-0.07
-1.28,3.38,8.37,0.20,-0.07,-0.04
-1.78,2.80,9.11,0.29,-0.07,-0.00
-2.32,2.36,9.80,0.51,-0.52,0.23
-1.48,3.22,9.77,1.01,-0.44,0.38
2.20,2.34,8.58,0.96,-0.10,0.20
-0.59,4.89,7.75,2.09,2.09,-0.19
-5.58,7.37,9.78,2.64,2.56,-1.61
-4.09,6.46,8.37,0.94,1.28,0.60
-5.29,8.76,4.42,2.01,1.75,1.10
-3.66,8.38,3.25,1.44,1.27,0.52
-3.48,7.06,2.27,1.48,1.01,1.27
-0.84,6.73,0.19,2.25,0.01,1.61
0.43,6.29,-1.27,1.59,0.31,1.32
1.43,7.77,-2.34,1.36,0.35,1.22
0.97,8.23,-1.83,0.52,0.22,0.67
1.43,9.03,-3.02,0.98,0.26,0.96
1.41,8.99,-2.28,0.31,0.49,0.33
0.89,9.35,-2.76,0.52,0.41,0.28
2.14,9.30,-3.50,0.37,0.47,0.57
2.28,8.67,-3.78,0.45,0.68,0.35
2.13,9.45,-4.34,-0.22,0.75,0.35
0.82,8.44,-3.19,-0.18,0.76,-0.06
0.60,8.92,0.87,0.31,0.18,0.04
0.50,7.43,0.33,0.71,0.24,-0.03
0.65,4.68,-0.75,0.82,0.35,-0.08
-0.46,3.88,-0.89,0.99,0.14,-0.15
0.19,7.10,-2.03,0.47,0.05,0.26
1.34,10.75,1.04,-0.97,-0.99,0.75
-0.33,3.14,-0.34,1.04,-0.77,-0.30
0.73,3.46,-2.15,1.40,0.74,0.24
2.70,8.02,-1.77,-0.32,-0.64,1.30
2.95,7.98,-3.40,-0.98,-1.40,0.56
3.12,7.93,-0.62,0.15,-0.15,-0.25
1.44,8.79,-3.19,0.62,0.44,-0.67
5.33,12.57,-6.45,-0.20,0.04,-0.44
6.69,16.80,-0.74,-2.27,-1.03,-0.61
5.88,18.31,3.85,0.42,-0.64,0.38
4.66,0.64,-13.58,-0.85,-0.34,0.66
1.80,5.82,-5.14,-0.74,0.92,-1.07
-5.11,13.57,8.63,-4.37,0.05,-3.71
-5.37,0.99,7.86,-4.07,-0.08,-3.68
-4.82,7.57,1.23,-2.04,-1.76,2.33
-1.13,3.57,-0.90,-3.65,-1.83,0.99
-1.64,2.81,7.72,-4.37,-0.11,0.79
-2.90,-1.76,17.32,-2.24,1.37,-0.21
-5.11,4.17,18.11,-0.20,1.92,-1.07
-2.69,-0.18,8.69,-0.33,-0.05,-0.62
-4.08,1.32,8.59,0.63,-0.07,0.60
-3.56,1.42,7.35,-0.78,-0.40,-0.73
-1.77,2.40,9.42,-0.04,-0.57,0.14
-1.19,3.19,7.50,-0.56,0.28,-0.03
-2.01,2.64,8.10,-0.78,0.49,0.05
-2.88,2.03,8.58,-0.15,0.33,-0.00
-3.34,0.99,8.76,-0.22,0.14,-0.32
-3.52,1.60,7.64,0.06,-0.05,-0.02
-4.88,1.99,8.75,0.06,-0.05,-0.13
-3.14,2.42,8.12,0.12,-0.20,0.09
-3.11,2.40,8.33,0.14,-0.03,-0.05
-2.67,2.24,8.52,0.14,-0.03,-0.09
-3.22,1.77,8.60,0.31,0.11,-0.32
-3.63,1.43,8.92,0.49,-0.05,0.16
-3.42,1.23,8.74,0.85,0.20,0.36
-2.60,3.74,8.94,0.77,0.36,0.73
-2.54,4.30,7.60,1.60,1.39,0.38
-8.43,3.70,10.60,1.53,2.46,-1.21
-6.70,4.77,7.82,1.79,0.70,1.74
-5.03,7.11,4.50,1.94,1.03,0.98
-6.53,6.47,4.72,1.05,1.37,0.81
-5.74,6.97,3.43,2.02,0.65,1.33
-3.65,7.13,2.47,1.42,-0.05,1.23
-2.11,7.48,0.08,1.35,0.68,1.49
-1.72,7.58,1.45,1.06,0.21,1.40
-0.42,6.40,-1.81,2.02,0.30,1.42
1.57,9.49,-4.54,1.42,0.52,1.89
1.72,7.84,-2.88,0.54,0.58,0.70
2.32,9.11,-3.29,0.61,0.46,1.16
2.13,8.87,-2.74,0.19,0.03,0.80
1.35,8.26,-2.90,0.05,0.05,0.58
2.47,9.17,-3.11,0.04,-0.11,0.60
1.17,9.45,0.64,-0.14,-0.01,0.02
0.96,9.43,0.67,-0.03,0.03,-0.00
1.04,9.49,0.62,-0.06,-0.00,0.01
0.89,9.39,0.79,-0.09,0.01,-0.03
0.94,9.38,0.86,-0.10,-0.13,-0.00
1.27,9.49,0.47,0.06,-0.11,-0.03
1.28,8.79,0.17,0.39,-0.01,-0.04
0.25,6.28,-0.15,0.97,0.13,-0.17
0.10,0.98,-1.12,1.27,0.17,-0.47
0.56,-2.56,-0.27,0.83,0.21,-0.15
-0.95,2.66,-1.45,1.00,-0.08,0.63
1.91,7.18,-2.89,0.04,0.08,0.61
2.57,8.80,-3.41,-0.85,-0.43,0.43
1.41,8.19,-3.10,-0.09,-0.34,0.55
7.80,9.52,-4.21,0.32,0.21,0.64
2.53,14.36,-6.36,-0.02,-0.08,-0.36
6.26,14.26,-4.68,-0.55,0.77,-0.47
4.17,16.41,-3.29,-2.82,-0.08,-1.32
0.77,10.26,6.13,-1.20,-3.23,-0.18
2.13,0.81,-9.67,-2.68,0.88,-1.83
1.79,12.37,1.02,-4.28,1.01,0.05
3.82,6.68,14.67,4.37,2.65,-4.37
-5.65,-5.22,5.09,-4.37,2.02,-3.25
-7.28,12.53,14.71,0.77,0.80,1.73
4.42,3.09,8.08,-3.44,-0.30,1.33
-9.61,2.99,6.33,-2.24,-0.42,0.09
-1.98,4.33,5.13,-2.22,-0.04,0.97
-1.28,0.07,9.31,-3.18,0.15,0.88
-3.06,1.40,10.79,-1.80,-0.15,0.88
-2.27,0.32,14.11,-0.97,-0.42,0.39
0.91,0.07,10.74,0.10,0.12,0.18
-1.14,-0.22,11.53,0.91,0.76,-0.41
-1.34,1.09,8.93,-0.83,-0.38,-0.25
-0.62,1.04,8.96,-0.75,-0.83,-0.20
-0.65,0.85,8.89,0.13,0.00,-0.43
-1.20,1.31,9.06,0.17,0.15,-0.42
-1.40,2.07,8.90,-1.01,-0.50,-0.09
-1.06,0.54,9.36,-0.16,-0.10,-0.21
-1.12,0.15,9.67,-0.27,-0.25,-0.09
-1.09,-0.40,9.71,0.01,-0.39,-0.10
