accx,accy,accz,gyrox,gyroy,gyroz
0.08,9.02,1.81,0.20,-0.21,-0.22
0.08,8.49,1.47,0.15,-0.36,-0.05
-0.81,9.06,0.16,-0.05,0.22,0.16
-1.98,10.18,1.48,-0.20,1.30,0.12
-1.39,6.39,2.47,-0.67,-0.40,0.36
1.46,5.55,-0.05,-0.56,0.07,0.37
1.48,9.34,2.42,-0.17,0.14,0.27
1.25,8.72,2.12,-0.69,-0.10,0.72
1.59,7.36,2.94,-0.80,-0.14,0.70
2.16,7.89,3.34,-0.66,0.42,0.51
2.26,8.88,5.06,-0.44,-0.10,0.31
3.06,7.75,4.75,-0.43,-0.74,0.24
3.68,7.10,3.92,-0.45,-0.18,0.23
3.91,7.47,5.79,-0.21,-0.51,0.09
5.04,7.02,4.24,-0.09,-1.14,0.14
4.59,4.68,4.79,0.16,0.29,-0.47
4.47,3.70,4.79,0.72,-0.14,-0.65
5.20,1.35,5.35,0.01,2.45,-0.41
0.94,5.12,5.01,0.14,1.93,-0.83
-0.59,4.57,-6.46,3.51,-1.00,-0.89
-0.40,4.30,-1.70,4.37,0.84,-2.74
-7.56,10.64,-6.00,1.67,2.26,-1.66
-2.99,2.22,-6.54,2.93,-0.18,-2.18
2.18,7.97,-4.67,4.37,-3.25,-4.37
1.03,9.29,-4.42,1.69,0.36,-1.94
-15.93,5.56,-10.42,3.64,2.17,-4.37
-14.31,3.28,-17.00,-0.38,1.71,-2.36
11.21,51.21,-7.07,2.30,-4.37,-2.04
10.31,-17.09,-8.94,-4.37,3.65,4.37
-9.76,1.95,-11.74,-3.17,4.37,4.37
-1.31,3.74,-23.16,-2.60,-2.17,0.44
0.01,8.46,-15.00,-1.43,3.74,3.17
5.78,-7.12,-11.42,0.83,1.41,2.03
3.71,2.90,-6.78,0.06,-3.51,-4.37
8.16,-3.04,-0.31,0.32,1.80,3.17
-6.88,-3.27,-21.49,0.06,1.28,-1.55
4.70,0.80,-6.03,-1.04,1.74,-0.10
5.37,2.66,-8.54,-0.15,-0.14,-0.08
4.83,3.57,-7.95,-0.17,0.55,-0.29
5.06,3.06,-8.31,0.28,0.61,-0.45
5.15,3.33,-8.90,0.12,0.09,-0.00
5.29,2.72,-8.50,0.41,-0.53,-0.25
5.13,3.12,-8.66,0.06,-0.19,-0.18
4.65,3.03,-8.60,0.06,-0.76,-0.29
4.04,2.73,-9.56,0.10,-0.36,-0.27
4.14,2.40,-8.85,-0.26,-0.27,0.44
3.91,2.40,-9.10,-0.22,0.33,-0.08
4.11,3.05,-9.80,-0.36,0.28,0.09
4.41,3.11,-8.83,0.15,-0.05,-0.44
4.24,2.90,-9.54,-0.10,0.05,0.19
4.37,2.93,-9.41,0.02,-0.19,-0.08
4.45,2.62,-8.99,-0.09,-0.02,0.12
4.28,2.99,-9.28,-0.18,0.30,0.03
4.64,2.99,-8.97,-0.15,0.22,-0.04
4.68,3.43,-9.04,-0.05,-0.01,-0.02
4.41,2.91,-8.36,-0.12,0.25,0.12
4.70,3.25,-9.08,-0.09,0.40,-0.08
-0.85,8.79,4.18,-0.02,0.17,-0.02
-0.92,7.82,4.26,-0.17,-0.12,-0.02
-0.68,8.09,4.12,-0.16,-0.01,-0.04
-0.79,8.28,4.34,-0.15,-0.11,-0.04
-0.70,7.66,4.31,-0.21,-0.15,-0.01
-0.44,7.13,4.35,-0.17,-0.06,-0.02
-0.40,6.34,4.08,-0.19,-0.15,-0.00
-0.28,5.93,3.78,-0.10,0.03,-0.03
-0.40,4.36,2.44,-0.19,-0.47,-0.02
0.40,5.64,3.18,0.01,-0.04,-0.12
-1.05,8.06,5.28,0.49,-0.48,-0.16
-0.42,7.16,5.10,-0.14,-0.60,0.11
0.65,7.56,5.70,0.10,-1.23,0.02
2.49,9.05,5.53,-0.17,-1.77,0.08
3.71,6.32,5.52,-0.26,0.08,0.72
5.20,4.95,6.12,-0.01,0.74,0.14
3.22,2.25,4.43,0.82,1.36,-0.53
2.06,-2.70,3.90,2.20,1.54,-1.52
1.20,2.46,-4.08,3.40,1.20,-2.56
-11.90,12.52,-6.56,1.82,2.08,-2.82
-6.71,14.03,-8.14,2.26,4.37,-1.87
-7.50,10.64,-7.45,3.73,4.37,-0.97
-7.16,8.50,-8.94,3.63,1.87,-1.17
-4.26,8.20,-12.98,2.97,2.54,-1.61
-3.86,7.18,-11.43,2.25,2.15,-0.91
-2.70,2.58,-9.43,2.34,1.71,-0.54
-0.33,0.76,-9.92,2.39,1.99,-0.38
-0.09,-3.11,-12.64,2.65,2.72,-0.45
6.34,-0.51,-22.72,1.69,0.24,-0.73
-1.70,7.69,-5.12,-3.79,-0.63,-0.16
1.09,-11.20,-17.54,-2.01,0.45,0.15
5.26,3.00,-10.90,-2.53,-1.09,-1.11
1.53,8.64,-13.24,-1.61,1.86,1.45
1.02,-1.88,-12.34,-0.96,2.89,1.08
5.68,0.58,-9.15,-1.12,2.35,-0.20
2.63,6.50,-3.82,-2.35,2.05,-0.25
5.17,5.04,-3.74,-0.75,-0.26,-0.15
6.96,7.94,-9.24,-0.05,0.54,-0.76
5.16,2.31,-2.38,0.33,0.85,-0.13
4.88,7.41,-3.26,0.03,-0.72,-0.43
7.77,5.14,-7.27,1.05,0.32,-0.33
4.85,3.75,-6.87,0.94,-0.16,-0.60
4.72,4.69,-8.45,1.53,-0.83,-1.01
2.88,4.73,-10.59,1.16,-0.39,-1.30
2.12,5.05,-10.27,0.34,-0.40,-0.25
2.25,4.39,-9.12,0.66,1.21,-0.53
3.41,3.17,-8.64,0.35,-0.29,-0.42
3.49,4.10,-10.31,0.19,-0.50,-0.12
1.87,5.01,-9.31,0.87,-0.48,-0.72
2.00,3.69,-9.53,0.05,-0.56,-0.19
2.07,4.01,-9.97,-0.02,-0.35,-0.16
2.26,4.18,-10.11,-0.08,0.34,-0.02
1.70,4.73,-9.31,-0.09,-0.15,-0.10
1.26,4.23,-9.19,0.03,-0.67,-0.25
0.96,6.63,-8.43,0.25,-1.91,0.43
1.15,3.24,-11.79,0.12,-0.51,0.51
1.05,8.70,3.66,-0.02,0.02,-0.02
0.90,8.74,3.48,-0.03,0.03,-0.02
0.99,8.31,3.46,-0.05,0.00,-0.01
0.75,8.00,3.17,-0.00,0.06,-0.05
0.81,8.64,3.45,0.03,0.15,-0.07
0.92,8.98,3.71,0.05,0.01,-0.09
0.83,8.25,3.78,0.00,-0.17,-0.06
0.91,7.26,3.23,-0.13,-0.20,-0.03
1.00,8.71,3.36,-0.05,0.42,-0.09
0.87,8.72,4.41,-0.18,0.14,0.08
1.36,6.16,3.88,-0.47,-0.36,0.15
1.67,6.08,3.60,-0.44,-0.33,0.01
1.31,7.52,4.35,-0.53,-0.20,0.07
1.25,6.65,5.07,-0.63,-0.40,0.16
2.60,7.01,4.51,-0.46,-0.22,0.17
2.22,7.28,4.96,-0.13,0.11,0.14
2.40,6.56,5.19,-0.37,0.09,0.29
2.43,5.35,5.41,-0.53,-0.12,0.27
3.50,5.42,6.04,-0.28,-0.42,-0.00
3.79,5.35,5.71,0.02,-0.19,-0.12
4.00,4.13,6.19,0.19,0.08,-0.23
3.01,2.34,3.40,0.50,-0.00,-0.51
2.42,0.20,2.98,0.78,0.70,-0.95
-1.89,5.78,-3.13,1.25,0.15,-1.12
-10.03,12.75,10.40,4.37,4.37,-4.37
31.79,6.06,23.24,0.05,4.37,0.24
-9.17,7.25,-6.54,0.23,4.37,-0.85
-4.98,10.71,-1.60,3.21,3.82,-0.97
-3.40,4.12,-5.83,1.99,0.91,-1.21
-3.81,4.53,-8.32,2.68,0.08,-1.61
-5.19,5.63,-6.63,2.12,3.75,-1.71
-5.31,5.85,-6.27,2.53,2.47,-1.55
