accx,accy,accz,gyrox,gyroy,gyroz
0.73,8.49,2.91,0.03,-0.03,-0.05
0.76,8.83,3.07,0.06,0.06,-0.07
0.56,8.63,3.27,-0.10,-0.11,-0.06
0.31,7.07,3.10,-0.27,-0.17,-0.01
1.72,10.15,4.13,0.41,0.28,-0.39
-0.17,9.78,4.16,-0.39,-0.21,0.13
1.12,6.06,3.35,-0.78,-0.35,0.28
1.56,7.22,3.63,0.00,0.52,-0.05
0.65,8.60,4.41,-0.20,0.15,0.13
0.83,6.39,4.26,-0.91,-0.20,0.34
1.30,5.32,4.07,-0.88,-0.23,0.24
1.56,5.58,4.34,-0.75,-0.24,0.22
1.72,5.36,4.08,-0.35,0.16,0.28
1.12,6.80,6.07,-0.03,0.58,0.23
1.11,5.76,6.18,-0.60,-0.06,0.39
1.52,3.23,6.03,-0.68,-0.22,0.22
1.96,1.72,4.88,0.18,-0.07,-0.05
1.81,0.42,2.03,1.09,-0.21,0.07
2.26,2.51,1.28,1.47,3.16,-0.16
7.53,15.42,5.35,4.37,3.38,-0.20
5.34,-3.70,-2.90,0.25,-0.97,1.25
6.30,-4.10,3.10,4.37,4.37,0.26
-3.60,10.14,-3.25,3.03,-3.49,-1.40
1.35,4.00,-6.70,4.37,1.37,-0.05
-3.22,3.78,-2.38,3.92,-4.20,-3.02
-7.39,6.00,-17.14,2.97,-0.48,-0.75
-5.07,1.97,-12.90,3.50,4.37,-1.55
0.23,-2.08,-11.36,1.60,1.43,1.40
-3.18,5.20,-27.11,0.41,1.29,-1.33
1.93,8.56,-12.54,-2.83,-0.33,-0.83
-5.01,6.93,-26.65,-3.23,0.51,2.35
1.49,-4.77,-11.18,-2.68,1.78,2.53
8.16,3.97,-11.09,-0.88,-2.06,-1.16
7.93,0.10,-12.02,0.58,-1.86,0.48
0.95,6.89,-9.07,-0.45,1.93,0.70
4.34,3.91,-7.64,-0.38,0.55,2.39
3.44,4.90,-6.19,-0.24,1.09,-0.07
6.38,4.52,-5.41,0.14,-0.14,-0.16
6.10,3.22,-5.49,0.51,-0.27,-0.57
5.49,4.99,-7.96,0.32,-0.62,-0.58
4.05,4.27,-9.38,0.49,-1.00,-0.47
2.77,6.22,-9.12,0.17,-0.94,-0.56
2.28,4.31,-9.09,0.05,-0.39,-0.15
1.81,4.98,-9.70,0.03,-0.35,-0.07
2.07,4.03,-9.15,0.05,-0.79,0.01
1.41,4.53,-10.27,0.01,-0.38,0.05
1.37,3.90,-10.27,-0.01,-1.23,-0.10
0.98,4.28,-10.07,0.01,-0.45,0.12
0.52,4.08,-10.13,0.11,-0.60,-0.04
0.72,3.77,-9.66,0.02,-0.17,-0.01
0.40,3.93,-9.79,0.01,-0.07,-0.09
0.55,4.32,-9.73,0.06,-0.07,-0.16
-0.09,4.41,-9.16,0.07,0.11,-0.10
0.79,3.65,-9.47,0.09,0.12,0.03
0.64,3.92,-9.50,-0.01,0.18,0.05
0.49,3.65,-9.84,-0.02,0.02,0.03
0.37,4.08,-9.96,0.00,-0.31,-0.07
1.19,9.67,1.65,0.25,0.03,0.00
1.17,8.87,1.46,0.21,0.00,-0.04
0.85,7.12,0.76,-0.01,-0.07,-0.12
0.44,5.75,0.43,-0.23,0.14,-0.18
1.51,13.53,4.66,-0.30,-0.06,-0.20
-0.92,9.56,1.53,-0.28,-0.06,0.08
0.86,3.32,2.45,-1.38,-0.65,-0.25
2.11,3.81,2.03,-0.48,-0.01,-0.31
1.41,8.42,2.51,-0.43,0.67,0.05
-0.84,7.04,3.71,-0.18,0.76,0.24
-0.62,5.86,4.45,-0.63,0.09,0.13
-1.32,4.37,5.49,-0.17,-0.16,-0.09
-0.73,3.62,6.13,0.55,-0.22,0.03
0.03,1.67,5.14,1.79,0.25,-0.07
0.94,1.15,3.51,2.15,-0.18,0.04
4.43,7.65,-11.52,4.37,-3.29,-1.22
1.93,-9.84,3.99,3.80,4.37,3.17
-3.46,10.01,-6.39,4.37,-2.35,-0.73
-0.79,6.09,-5.63,1.54,-1.49,-0.91
20.82,-6.72,-27.87,4.05,2.72,-0.05
2.61,13.91,-7.16,-0.54,2.19,-1.19
-25.07,-27.15,0.49,1.85,1.15,2.90
29.94,24.96,-20.89,2.12,4.08,4.37
12.07,1.36,-11.63,1.20,-1.10,-0.43
5.28,2.31,-9.03,-0.02,-1.84,-1.84
1.93,1.26,-9.31,0.52,-1.62,-1.14
2.01,2.43,-11.57,0.36,-1.00,0.15
-0.82,0.30,-8.05,0.24,-1.04,0.15
0.58,2.41,-11.21,-0.64,0.58,0.15
2.15,3.52,-10.70,-0.10,-0.77,0.34
0.83,1.59,-10.59,-0.19,-0.66,-0.11
1.28,3.86,-7.66,-0.45,0.06,0.09
0.70,3.34,-9.54,-0.18,0.67,0.33
0.23,3.38,-11.08,-0.11,0.20,-0.20
0.73,3.41,-11.07,-0.14,0.38,-0.17
1.10,3.67,-10.40,-0.11,1.09,0.06
1.24,2.62,-9.73,-0.22,0.00,0.20
1.70,2.98,-9.55,-0.08,0.02,0.09
2.55,3.48,-9.73,-0.02,0.03,0.01
2.08,3.36,-10.64,-0.07,-0.67,-0.11
-0.10,6.42,-5.18,-0.26,-0.99,0.97
0.85,3.17,-11.53,-0.21,1.26,1.05
