accx,accy,accz,gyrox,gyroy,gyroz
-0.36,8.37,1.90,0.07,-0.09,0.13
-0.64,7.92,1.40,0.19,-0.01,0.17
-0.50,8.28,1.72,0.23,0.25,0.24
-0.49,7.36,1.28,0.51,0.40,0.34
-0.01,5.97,0.27,0.65,0.47,0.44
0.16,6.40,0.02,0.30,0.82,0.55
0.45,6.48,0.25,0.29,0.98,0.79
0.33,6.69,0.41,0.19,0.82,0.78
2.02,6.53,0.05,0.01,1.06,0.65
4.01,8.36,-0.04,-0.31,1.71,0.55
1.69,7.98,0.22,0.03,1.64,0.47
0.27,7.57,-1.76,0.39,1.48,0.15
-3.58,7.94,-0.98,0.18,1.43,-0.04
-7.01,9.04,-0.62,0.61,0.96,0.30
-2.17,7.48,-2.51,0.20,-0.51,0.16
1.83,9.70,-3.90,0.30,-1.72,1.13
11.90,16.62,-8.08,0.47,1.64,1.22
9.30,29.38,13.68,4.37,-4.37,4.01
1.83,2.50,5.94,0.88,-3.23,1.92
12.76,-7.29,-3.31,0.13,4.37,1.79
4.36,5.51,3.26,-1.74,3.84,1.90
11.56,11.60,4.15,-0.60,0.40,0.62
13.63,0.51,4.86,-1.51,1.52,0.55
7.24,1.77,3.17,-0.49,1.37,0.07
9.72,5.91,4.77,-0.58,0.96,0.17
5.13,1.45,3.29,-0.83,-0.10,0.30
6.81,3.24,4.62,-0.24,1.15,0.13
7.75,3.92,5.21,-0.08,-0.05,0.25
7.55,5.87,5.84,-0.15,-0.09,0.09
7.24,4.29,4.99,-0.19,-0.46,-0.00
7.07,4.46,4.47,-0.03,-0.20,0.01
7.12,4.57,3.94,-0.06,-0.29,-0.09
7.76,5.01,3.81,-0.08,-0.38,-0.02
7.90,5.15,3.82,-0.11,-0.11,-0.02
7.92,4.44,3.69,-0.15,-0.29,0.03
7.98,4.72,3.65,-0.09,-0.07,0.04
7.80,4.76,3.64,-0.11,-0.09,0.07
7.92,4.54,3.37,-0.07,-0.02,0.06
7.99,4.76,3.70,-0.07,-0.07,0.02
7.93,4.55,3.43,-0.04,-0.02,-0.00
7.97,4.60,3.58,-0.07,0.04,-0.00
7.80,4.29,3.56,-0.04,-0.01,-0.02
7.98,4.68,3.47,-0.01,0.04,-0.03
7.81,4.68,3.59,-0.04,0.05,-0.01
7.78,4.63,3.63,-0.04,0.07,0.00
7.73,4.68,3.54,-0.05,0.08,-0.03
7.74,4.74,3.69,-0.08,0.05,-0.01
7.59,4.62,3.60,-0.07,0.06,0.01
7.69,4.49,3.80,-0.04,0.04,0.01
7.59,4.56,3.93,-0.05,0.03,-0.00
7.66,4.64,3.71,-0.06,-0.02,-0.03
