accx,accy,accz,gyrox,gyroy,gyroz
-2.62,8.17,0.20,0.19,0.05,-0.17
-2.79,7.47,0.31,0.28,-0.02,-0.19
-2.42,6.21,0.06,0.56,-0.19,-0.16
-2.39,5.88,-0.45,0.70,0.07,-0.18
-2.38,6.17,-0.39,0.63,0.25,-0.15
-2.49,6.18,-0.75,0.59,0.06,-0.01
-2.74,6.23,-1.38,0.54,0.03,0.03
-3.47,5.70,-3.12,0.66,0.55,-0.06
-3.63,7.88,-3.09,0.36,0.96,-0.54
-4.07,6.77,-1.82,0.93,-0.35,-0.10
-1.97,6.43,-4.90,1.78,0.10,-0.31
-1.96,6.76,-4.01,1.05,0.49,-0.67
-3.41,8.11,-3.70,0.89,-0.15,-0.57
-3.31,7.72,-3.87,0.28,-2.75,-0.54
-4.34,11.96,-6.85,-0.13,-3.38,-0.74
-3.09,-0.79,-0.50,4.37,4.37,-4.37
-7.72,3.79,6.32,-1.10,-4.37,-0.69
-17.42,3.91,-20.04,4.37,4.37,-2.42
-14.55,12.60,-10.06,3.07,-2.17,-4.02
4.54,-10.09,-2.52,1.37,-4.37,-3.38
-16.84,-8.03,27.48,-4.37,-4.37,-2.87
-21.89,5.20,-9.32,-3.86,-4.37,2.98
-13.91,-4.51,-1.76,2.98,-0.34,-4.37
-7.87,-4.00,7.41,-2.82,-3.52,-0.46
-11.50,0.93,1.21,1.09,-1.77,1.13
-7.26,-3.23,0.91,-0.13,-0.40,0.12
-9.15,-1.33,1.75,-0.41,1.25,-0.19
-10.33,0.08,1.36,0.18,0.58,0.14
-9.51,-1.79,0.22,0.16,0.25,-0.15
-9.15,-1.93,0.74,0.36,-0.02,-0.03
-10.27,-0.81,0.79,-0.04,0.51,0.08
-9.83,-1.52,0.45,-0.32,0.76,0.09
-10.01,-2.68,1.08,-0.30,0.91,0.33
-11.20,-1.88,0.03,0.08,1.59,0.31
-10.46,-1.19,-1.03,-0.18,2.15,0.47
-10.01,-1.11,-1.98,-1.14,2.84,1.31
-11.04,0.55,-2.21,-0.77,2.98,1.66
-7.05,1.17,-4.38,0.18,3.37,1.59
-6.99,3.90,-8.87,-0.42,0.25,1.57
-6.52,4.26,-7.66,-1.02,0.48,0.99
-5.91,4.06,-8.51,-0.89,0.49,1.95
-7.18,6.20,-6.05,-2.42,0.15,1.04
-6.70,3.80,-3.59,-1.37,0.36,1.32
-1.59,4.48,-2.47,-0.19,0.27,1.24
-1.50,7.05,-5.55,-0.30,1.46,0.46
-1.98,6.51,-7.78,-1.03,1.44,0.51
-2.17,6.56,-4.07,-0.17,-0.54,1.11
-0.95,7.51,-4.52,-0.09,-1.08,0.52
-0.70,7.66,-6.88,0.57,0.18,-0.19
-2.09,11.60,-5.56,0.11,0.64,0.11
-1.41,8.67,-7.94,-0.16,-0.17,-0.50
-3.34,8.53,-6.10,-0.35,0.09,-1.28
-4.74,6.69,-5.81,-0.05,-0.04,-1.33
-4.99,4.99,-5.51,0.57,0.51,-1.44
-5.42,5.26,-6.89,0.22,0.53,-1.38
-5.63,4.60,-5.56,-0.12,1.12,-1.46
-4.40,8.34,-0.05,0.06,0.09,-0.03
-4.05,8.03,0.01,0.06,0.04,0.00
-3.58,7.67,-0.02,0.17,0.10,0.05
-2.94,7.01,0.02,0.26,0.14,0.10
-2.28,6.80,-0.26,0.24,0.18,0.14
-2.58,6.48,-0.55,0.45,0.15,0.15
-3.00,7.41,-1.08,0.28,-0.07,-0.06
-1.95,6.88,-1.39,0.52,-0.01,0.01
-2.50,7.19,-1.55,0.49,-0.00,-0.14
-2.89,7.13,-1.75,0.56,-0.21,-0.14
-2.43,7.43,-1.07,0.37,-0.35,-0.16
-2.60,6.68,-2.29,0.27,-0.49,-0.13
-2.95,6.24,-1.86,0.40,0.05,-0.49
-2.62,5.42,-2.07,0.72,-0.52,-0.36
-3.17,3.34,-2.44,2.58,-0.20,-0.27
-2.41,6.79,-2.86,0.69,0.96,-1.71
-4.41,6.08,-6.77,1.96,-0.54,-0.03
-3.63,8.63,-0.73,2.66,-1.53,-0.96
-37.33,-8.62,3.17,0.91,-4.37,4.37
3.86,-23.19,-13.83,4.37,4.37,-2.93
-14.44,0.12,-1.52,3.07,-1.30,0.36
-24.92,8.46,-5.00,1.67,-3.66,-0.91
-3.72,-3.40,-2.62,0.08,-4.37,-2.38
3.11,-0.66,-6.69,-1.12,-4.37,-1.61
-12.40,-1.49,4.95,4.37,-0.38,0.26
-10.26,-1.06,5.75,-0.90,-0.18,0.51
-7.58,-3.91,6.49,-1.32,-2.17,-0.67
-7.06,-1.34,3.42,0.88,-0.51,0.10
-9.09,0.17,3.40,-0.27,0.14,0.30
-7.77,-1.77,1.19,0.31,1.18,-0.05
-9.57,0.94,1.22,0.13,0.23,0.12
-9.57,0.48,1.60,0.13,-0.14,0.01
-9.29,-0.65,2.18,-0.08,0.39,-0.16
-9.62,-0.28,1.85,0.16,0.19,-0.06
-9.36,-0.40,1.53,0.06,0.31,-0.10
-9.44,-1.28,1.76,0.09,0.33,0.02
-9.24,-1.30,1.74,-0.00,0.68,0.16
-10.01,-1.05,1.58,0.08,1.04,0.23
-10.54,-1.27,0.95,-0.11,1.30,0.34
-10.57,-0.50,-0.07,0.03,1.65,0.43
-9.84,0.14,-0.48,-0.04,1.86,0.80
-10.03,0.68,-2.41,-0.69,2.25,1.50
-10.49,2.48,-2.58,-1.11,2.03,1.63
-7.82,1.79,-6.10,-0.33,1.70,1.45
-7.68,3.31,-4.78,-1.13,0.79,1.13
-7.68,4.13,-4.72,-0.72,0.59,1.18
-7.33,4.04,-4.34,-0.43,0.03,1.20
-7.35,4.72,-3.24,-0.07,-0.69,1.71
-5.14,5.51,-4.39,0.15,-0.72,1.78
-2.53,8.38,-3.64,0.24,-0.69,1.28
-4.25,7.80,-3.89,-0.53,1.37,0.59
-3.86,7.39,-3.61,-0.66,2.06,0.72
-5.24,6.55,-4.19,-0.38,2.45,0.77
-2.32,4.61,-2.75,0.27,-0.18,0.35
-1.99,6.53,-4.90,0.83,-0.38,0.27
-0.08,10.19,-7.11,0.56,-1.23,0.57
-1.08,8.98,-6.25,0.78,0.05,0.00
-2.91,6.64,0.10,0.44,0.20,-0.19
-3.79,5.88,-0.64,0.72,0.31,-0.23
-4.35,6.36,-1.05,0.66,0.07,-0.42
-4.54,5.22,-0.75,0.66,-0.15,-0.43
-4.24,5.45,-1.54,0.68,-0.30,-0.35
-4.69,6.89,-1.57,0.47,-0.42,-0.38
-5.03,7.01,-2.15,0.82,-0.49,-0.30
-4.24,6.34,-2.46,0.81,-0.39,-0.41
-4.13,6.08,-2.40,0.93,-0.23,-0.33
-5.31,6.75,-2.25,1.09,-0.28,-0.40
-4.06,6.09,-2.48,1.51,-0.72,-0.47
-5.27,4.01,-2.81,1.42,0.55,-0.82
-6.18,4.69,-2.94,2.09,0.56,-0.96
-6.01,12.55,-2.71,1.73,-1.25,-0.69
-14.75,11.79,21.00,-4.37,-2.36,-0.63
-1.86,-0.85,-10.80,1.48,-3.68,-0.56
-4.75,0.66,8.80,1.66,-4.37,-2.95
-13.25,-10.40,-31.95,3.09,4.37,-3.19
-6.03,4.13,-7.61,4.37,-4.21,-2.67
0.82,-14.18,9.91,-3.42,-4.37,-2.64
-16.02,0.47,5.64,4.37,4.37,0.57
-6.53,2.01,7.34,-1.70,-1.94,0.17
-6.73,-2.09,6.45,-1.23,-2.35,-0.87
-8.58,2.99,4.72,-0.78,0.30,0.23
-7.40,-1.84,5.33,0.05,0.34,-0.41
-7.51,-1.27,4.93,-0.60,-1.01,0.21
-7.97,-0.59,4.84,-0.21,0.24,0.03
-6.60,-1.20,5.29,-0.38,-0.41,0.23
-5.45,-1.09,5.80,-0.82,-0.39,1.05
-16.21,9.94,-6.92,1.44,2.13,0.85
-8.87,-1.04,3.47,0.01,2.43,0.92
-5.19,-2.84,-7.69,2.31,3.97,2.32
