accx,accy,accz,gyrox,gyroy,gyroz
-3.62,-7.35,-2.42,-0.13,0.83,-0.28
-4.31,-10.11,-2.39,-0.28,-0.93,-0.33
-5.48,-7.09,-2.35,-0.48,-0.68,-0.47
-4.43,-7.96,-0.99,0.22,-0.34,-0.46
-5.20,-8.46,-2.70,-0.40,-0.63,-0.17
-5.55,-7.58,-2.10,0.03,0.14,-0.13
-3.98,-7.82,-1.88,-0.18,-0.12,-0.01
-3.47,-7.15,-2.15,-0.51,0.03,-0.09
-4.62,-5.68,-2.51,-0.12,-0.03,-0.11
-4.39,-7.01,-3.09,0.47,0.34,-0.07
-4.52,-9.15,-2.16,0.51,0.14,0.09
-4.39,-9.44,-2.09,0.39,-0.25,0.04
-4.23,-8.97,-2.65,0.21,-0.08,-0.06
-4.65,-6.52,-2.02,-0.11,-0.41,0.01
-2.39,-7.60,-1.42,0.17,-0.03,-0.36
-4.35,-6.24,-2.32,-0.18,-0.64,-0.23
-4.22,-6.60,-1.57,0.55,0.13,-0.29
-2.57,-9.39,-1.64,0.47,-0.34,0.11
-3.08,-5.99,-2.12,-0.62,-0.66,-0.11
-4.46,-5.13,-2.96,-0.22,-0.71,-0.17
-4.86,-0.53,-1.95,0.84,-0.76,-0.44
-1.61,-4.33,0.70,2.32,0.12,-0.94
-0.25,-11.72,4.83,3.44,-0.77,-0.14
1.88,-11.13,4.75,2.46,-0.84,-1.30
-4.71,-11.50,10.64,2.25,-3.73,0.07
3.59,-10.84,10.06,2.34,0.01,-1.80
-0.90,-7.51,8.71,1.69,-3.25,-0.18
3.76,-7.86,8.58,2.23,-1.27,-0.86
4.12,-10.55,10.26,-0.05,-3.43,-0.27
4.30,-9.84,9.41,-0.15,-3.07,-0.51
5.89,-14.64,9.23,-2.59,-3.30,-1.60
5.77,6.39,9.98,-4.37,-4.23,-2.00
11.55,-0.36,10.00,-1.29,1.52,-3.94
4.22,-8.69,-2.60,0.48,-0.13,1.31
20.35,0.79,-3.40,-1.96,-1.79,-1.44
-0.13,-2.87,-10.77,0.84,-0.27,-2.45
10.07,-15.59,4.65,4.03,0.50,1.25
22.90,-8.14,10.00,-3.53,1.22,-4.37
6.07,16.91,-1.10,-2.35,-2.93,-0.82
-0.91,-8.96,-1.24,4.37,2.35,1.97
23.49,-4.60,8.81,-2.59,-0.26,-1.85
-4.53,-2.41,-3.55,0.13,-0.45,0.64
15.81,-5.30,5.25,1.10,2.09,-0.36
7.39,-3.14,4.08,-2.30,-0.42,-0.55
8.37,-1.72,2.66,2.48,0.85,0.44
10.39,-5.84,3.51,0.88,0.24,0.03
10.07,-6.45,3.83,-0.10,0.14,-0.16
7.41,-2.99,2.23,-1.09,-0.63,-0.41
7.51,-3.19,2.55,0.53,0.75,-0.04
10.47,-2.27,3.30,-0.18,-0.38,0.05
7.45,-2.78,2.55,0.45,0.17,0.26
9.52,-4.47,4.60,0.46,0.24,-0.30
9.14,-3.35,3.23,-0.11,0.48,-0.18
8.92,-3.37,4.62,-0.58,-0.03,-0.58
7.79,-1.84,4.00,-0.09,0.15,-1.18
9.53,-3.02,3.34,0.61,0.20,0.19
9.44,-1.82,3.92,-0.13,-0.01,-0.09
