accx,accy,accz,gyrox,gyroy,gyroz
0.21,-10.51,1.18,-0.02,0.10,-0.02
-0.99,-9.67,0.85,-0.20,-0.13,0.05
0.03,-10.04,1.41,0.06,0.27,-0.06
-0.06,-9.88,1.13,-0.38,-0.20,0.04
-1.23,-9.04,0.72,-0.09,0.17,0.10
0.72,-9.86,1.36,-0.20,0.12,0.02
0.28,-9.22,0.63,-0.48,-0.17,0.12
-0.07,-7.90,0.52,-0.37,0.04,0.11
-0.01,-8.21,0.25,-0.38,-0.12,0.21
-0.59,-7.91,-0.03,-0.25,0.10,0.28
-0.66,-9.83,0.73,-0.20,0.38,0.25
-0.88,-9.67,0.45,-0.54,-0.08,0.34
0.55,-7.19,-0.08,-1.04,0.06,-0.02
-2.28,-4.26,-0.62,-0.77,-0.05,0.04
2.14,-2.46,-0.25,-0.98,-0.73,-0.07
-1.90,0.91,-3.99,-0.17,-0.45,-0.44
-4.93,-7.56,1.35,1.00,-0.11,-0.52
2.06,-5.90,0.27,2.07,0.99,-0.13
5.70,-21.27,6.82,0.93,1.33,0.02
6.32,-16.75,8.23,-0.78,-0.88,1.52
-1.38,0.80,3.65,-2.84,-0.41,0.79
-3.17,-10.00,0.65,1.39,2.67,2.23
3.13,-50.55,-4.11,4.37,3.15,4.37
10.84,60.94,68.18,-4.37,-2.73,-4.37
-78.45,4.88,-7.34,4.37,-4.37,4.37
19.99,-5.19,13.52,2.66,4.37,-4.37
-2.57,-13.85,-5.85,-2.95,-4.37,3.21
-8.91,12.44,-7.94,-3.03,1.81,3.21
-7.05,2.22,-4.68,-4.37,4.37,-2.68
-8.68,35.29,-1.88,-1.09,-4.37,2.63
-13.69,-7.40,-6.83,4.37,4.37,-1.16
18.19,-7.91,-3.38,-1.42,-0.52,0.18
-22.40,12.85,-7.42,-4.12,-4.37,1.49
-5.11,3.28,-7.28,3.30,4.37,0.37
8.36,1.98,-5.86,-0.84,-0.95,-0.02
-10.02,4.94,-10.75,-1.49,-0.34,-0.59
-1.25,2.96,-8.67,1.20,1.35,0.29
0.14,2.64,-9.03,-0.51,-0.27,0.03
-5.24,3.76,-9.47,-0.31,-0.03,0.03
-3.79,3.38,-9.11,0.11,0.26,0.04
-3.35,4.02,-9.48,-0.11,0.08,-0.01
-2.81,3.00,-9.08,0.16,0.54,0.06
-3.51,2.77,-9.49,-0.20,-0.03,0.01
-2.65,2.53,-9.09,-0.15,0.16,0.13
-2.12,5.64,-9.19,0.00,-0.06,0.03
-3.09,3.04,-9.06,0.14,0.38,-0.01
-2.54,3.18,-9.30,-0.08,0.08,-0.03
-2.68,3.75,-9.32,-0.10,0.13,-0.09
-2.71,3.85,-9.55,-0.15,0.02,-0.09
-3.27,4.02,-9.59,-0.02,0.19,-0.04
-2.19,1.94,-8.64,0.20,0.62,0.18
-2.71,5.36,-10.07,-0.49,-0.50,0.03
-2.26,7.11,-9.10,-0.25,0.38,-0.24
-3.17,5.24,-8.69,0.68,-0.21,-0.00
-0.99,0.97,-9.87,0.63,0.22,0.11
-2.54,-0.39,-9.28,-0.79,-0.95,-0.71
-4.82,2.02,-10.30,-0.16,-0.64,-0.05
