accx,accy,accz,gyrox,gyroy,gyroz
-4.04,-7.94,-0.84,0.16,0.41,-0.22
-3.52,-9.04,-0.61,0.39,0.32,-0.18
-3.34,-9.35,-0.14,0.36,0.22,-0.09
-2.88,-9.67,0.04,0.13,0.15,-0.05
-3.26,-8.78,0.30,0.05,-0.07,0.00
-2.19,-8.27,0.61,0.32,-0.23,0.19
-0.86,-6.33,-0.07,-0.21,-0.52,-0.23
-0.97,-3.76,-0.18,-0.47,-0.68,-0.58
-7.30,-7.61,0.69,0.73,-0.42,0.13
-1.64,-6.81,1.86,0.97,1.83,-0.44
4.46,-11.27,2.17,0.24,-2.36,0.70
-9.52,-1.75,-2.11,-1.60,-0.07,-1.10
2.92,-8.50,0.69,1.71,0.38,-0.02
-2.71,-10.13,0.67,-1.31,-1.56,-1.00
-4.75,-3.11,-0.40,0.52,-0.77,-0.31
1.90,-7.66,2.89,0.67,1.64,-1.04
0.93,-14.22,3.73,0.95,0.86,-0.03
2.37,-17.80,8.34,0.37,0.80,0.63
1.86,-11.95,5.71,-1.48,0.95,0.20
-3.61,-8.58,1.34,-0.15,2.53,2.23
9.14,-8.41,5.55,-0.28,1.10,2.04
-1.89,-22.95,-6.37,-2.80,1.00,2.08
-16.46,-8.25,-7.38,-4.37,4.37,3.18
-0.85,-1.67,-1.04,1.69,-1.96,4.37
-32.71,-36.26,15.78,-4.37,4.37,4.37
25.47,27.80,-5.20,-2.65,4.37,-0.02
-20.07,-21.26,-7.11,-1.86,-1.69,2.26
3.87,14.18,-6.54,-2.39,1.52,0.38
-8.50,-9.34,-7.26,-2.98,1.77,0.05
4.50,17.71,-16.97,-4.37,-3.27,-2.52
-10.27,19.75,-3.66,2.76,3.07,0.61
-3.87,-19.29,-5.07,3.91,2.14,1.67
8.59,6.49,-8.33,-1.98,-1.28,-0.54
-10.79,0.17,-11.42,-0.70,-0.38,-0.24
-4.40,1.33,-8.98,0.31,0.10,0.40
-3.60,3.19,-10.41,0.55,0.38,0.18
-0.51,-1.77,-10.61,-0.17,0.37,-0.20
-2.66,0.31,-10.91,-0.29,-0.29,0.05
-2.37,2.14,-10.36,-0.06,-0.07,-0.01
-3.19,0.16,-9.70,0.25,-0.17,-0.10
-4.86,-0.54,-9.79,-0.19,-0.27,-0.05
-3.24,-0.12,-10.01,-0.26,0.21,0.15
-1.43,3.88,-9.98,-0.73,-0.46,0.20
-5.91,-0.80,-9.77,0.05,0.47,-0.14
-2.00,0.20,-10.58,0.03,-0.17,-0.02
-2.92,1.86,-10.41,-0.18,0.00,0.01
-2.89,-0.84,-10.30,-0.01,0.22,0.04
-4.12,2.00,-9.75,-0.71,-0.77,0.23
-5.79,3.06,-9.27,0.40,0.35,0.29
-0.52,-0.26,-9.95,-0.13,0.27,-0.10
-3.84,0.18,-10.51,-0.12,0.10,-0.10
-2.56,0.78,-10.15,-0.02,0.07,-0.09
-1.77,0.31,-9.83,-0.05,0.13,-0.03
-3.65,2.32,-11.19,-0.38,-0.43,0.22
-3.44,5.04,-10.08,-0.76,1.03,-0.77
-3.41,-6.81,-10.52,1.40,0.50,0.47
0.10,2.70,-9.97,-0.86,-1.55,0.05
