accx,accy,accz,gyrox,gyroy,gyroz
-0.91,-9.71,-1.22,-0.12,-0.23,-0.07
-2.43,-8.74,-1.34,0.08,-0.17,-0.08
-1.32,-9.67,-0.96,0.18,-0.05,-0.21
-2.17,-9.32,-0.57,0.16,-0.34,-0.30
-1.58,-9.45,-1.39,0.34,-0.02,-0.59
-0.61,-9.88,-0.76,-0.07,-0.32,-0.07
-2.99,-8.63,-0.78,0.22,-0.10,-0.04
-0.90,-10.52,-0.21,0.26,0.07,-0.14
-2.52,-9.36,-0.34,0.11,-0.27,-0.07
-1.30,-8.65,0.01,0.57,0.19,-0.32
-0.70,-8.55,-0.16,0.26,-0.39,-0.12
-0.90,-6.98,-0.01,0.37,-0.15,-0.42
-0.48,-7.77,1.14,0.38,-0.27,-0.21
-3.77,-7.10,1.08,0.83,-0.20,0.11
0.09,-8.45,1.40,1.45,0.81,-0.14
-2.55,-7.24,1.27,-0.32,-0.66,-0.19
0.25,-4.82,1.13,1.29,1.07,-0.49
-0.00,-8.80,3.18,-0.29,-0.61,-0.12
-5.30,-3.33,0.52,1.71,-1.42,0.89
4.44,-2.59,-2.23,0.32,1.54,-1.82
1.56,-13.87,11.73,0.77,-4.37,1.80
1.80,12.50,1.81,-0.35,-1.51,-2.15
-1.12,-16.37,13.29,1.10,0.30,-1.85
-13.01,-27.72,31.58,2.29,1.70,2.03
23.06,15.72,-5.69,1.98,-2.09,-1.23
10.92,-12.31,15.59,-3.64,-3.32,-4.37
-19.42,-13.21,5.46,4.37,0.02,-3.88
63.83,18.88,32.35,4.37,4.37,-4.37
-0.94,-13.35,17.17,-4.37,-4.37,-3.91
1.38,13.00,-2.73,0.17,2.21,1.02
29.37,15.07,10.35,4.37,-2.32,0.24
2.87,-7.64,2.18,-2.04,-2.68,-4.17
7.37,-2.03,-0.26,1.87,-0.63,-0.67
11.54,4.54,5.33,-4.37,-2.38,-1.90
0.67,11.27,-4.18,0.47,-1.35,1.48
14.86,5.89,0.32,1.19,1.63,-0.42
12.87,-0.78,-0.43,-0.85,-2.19,-0.49
5.38,6.17,-4.30,-1.79,-0.48,0.69
6.60,-0.63,-4.82,0.56,1.32,1.19
17.03,2.41,-2.60,-0.58,-0.49,-0.20
2.87,-1.01,-3.82,-1.78,0.68,0.30
10.10,11.88,-3.94,-1.75,1.11,1.19
3.60,1.63,-2.95,-0.53,2.20,-0.30
12.43,-1.64,0.62,3.43,2.22,1.27
13.98,-1.53,2.50,-1.64,-0.03,-1.35
5.04,-5.82,2.94,0.96,-0.22,0.35
12.07,4.48,1.80,0.98,2.17,0.07
9.13,-6.71,1.13,-2.17,-3.16,1.01
19.86,4.55,6.73,0.54,-0.01,-0.68
9.85,0.75,0.19,-0.11,-0.67,-1.47
8.61,0.45,-0.36,-0.33,-0.60,0.51
9.64,1.34,-0.43,0.12,-0.25,0.54
10.76,0.49,0.52,-0.19,0.37,-0.05
10.47,1.02,0.23,0.18,-0.27,0.67
9.76,-0.79,-0.10,-0.86,-0.54,-0.87
10.50,-0.12,0.18,-0.11,-0.65,0.02
10.95,1.13,-0.00,-0.29,-0.00,-0.55
