accx,accy,accz,gyrox,gyroy,gyroz
-6.94,-6.85,-3.00,-0.13,-0.23,0.01
-6.78,-6.69,-3.13,0.37,0.64,-0.03
-4.26,-8.08,-2.59,0.10,0.13,0.08
-5.95,-6.91,-3.16,-0.48,-0.40,-0.08
-5.98,-7.17,-3.55,-0.20,-0.61,0.04
-6.63,-6.66,-3.35,-0.34,-0.89,-0.13
-6.19,-5.52,-3.51,0.24,-0.88,-0.30
-5.92,-6.89,-2.52,0.83,-0.54,-0.61
-7.14,-6.38,-2.12,0.80,-0.81,-0.55
-5.74,-5.55,-1.78,1.51,0.45,-0.88
-2.21,-8.02,0.01,1.40,-0.10,-0.64
-3.38,-6.27,0.71,0.98,-0.42,-0.43
-4.85,-6.04,2.09,1.38,0.49,-0.42
-2.01,-8.36,2.57,1.54,1.52,-0.46
-1.60,-10.04,2.60,0.44,-0.04,-0.09
-2.01,-8.00,2.49,0.03,-0.92,0.46
-4.15,-6.17,1.30,-0.41,-0.44,0.21
-5.15,-7.10,1.99,-0.09,0.02,0.40
-4.01,-7.43,2.48,-0.08,0.16,0.44
-2.83,-6.78,1.79,-0.46,-0.48,0.32
-9.06,-7.18,2.31,-0.49,0.43,0.15
1.50,-8.95,3.57,0.40,2.09,-0.36
0.32,-16.76,1.55,-3.39,-1.14,-0.55
-3.36,0.62,-0.96,-2.61,-2.97,1.32
2.78,-0.67,-0.65,0.90,2.16,0.08
6.03,-11.52,-0.56,1.54,-3.02,3.40
-18.03,-8.20,-6.12,3.96,-3.26,4.37
-31.96,2.99,31.38,4.37,-3.55,0.06
12.75,35.52,18.60,4.37,4.37,1.32
-16.92,-41.92,8.34,1.51,2.05,2.51
-8.81,30.63,0.77,-4.37,-1.87,2.13
-7.53,5.64,5.89,4.37,4.37,3.85
-9.43,20.92,28.28,-3.68,-1.03,3.63
-10.38,37.77,-1.72,-0.57,4.37,-0.42
-11.55,-14.85,-0.92,3.88,-0.85,2.67
3.08,13.02,0.44,-1.22,-0.26,-1.14
-5.13,12.70,-2.27,2.18,2.19,-1.01
-4.68,4.18,-1.22,0.39,-0.57,-0.26
-9.10,9.02,-4.89,-0.73,2.22,-0.90
-5.55,5.11,-5.10,1.11,1.12,-0.05
-0.97,3.20,-6.91,0.31,0.60,-0.25
-7.41,4.55,-6.54,-1.19,-0.63,-0.19
-3.34,7.52,-7.39,0.42,2.12,-1.13
-1.09,-2.24,-6.25,-0.08,-0.59,-0.51
-7.44,7.45,-4.91,-2.01,-2.37,-0.51
-9.92,7.81,-5.67,-0.57,0.29,-0.49
-4.86,2.70,-4.74,-0.43,-0.07,-0.25
-7.25,7.50,-3.11,-0.30,-1.17,0.01
-8.42,3.76,-2.86,-0.30,-1.70,-0.29
-9.93,8.53,-3.32,0.32,-0.13,-0.22
-5.12,3.53,-2.30,0.43,-0.05,-0.19
-9.74,6.09,-3.96,-0.06,-0.68,0.10
-7.59,3.97,-2.81,0.51,0.76,-0.22
-7.50,3.44,-3.02,-0.27,-0.25,0.02
-9.22,6.42,-3.88,0.04,0.37,0.00
-6.31,3.98,-3.76,0.35,0.53,-0.07
-7.42,3.76,-3.46,-0.12,-0.04,0.03
