accx,accy,accz,gyrox,gyroy,gyroz
-5.81,-7.09,-4.14,-0.06,-0.01,0.08
-5.67,-6.81,-3.87,-0.16,-0.20,0.01
-5.95,-6.67,-3.95,-0.11,-0.09,0.04
-6.07,-7.05,-4.07,-0.11,-0.12,0.04
-6.35,-6.60,-4.09,-0.04,-0.01,0.02
-6.01,-6.91,-4.02,0.02,0.12,0.04
-6.12,-6.80,-4.21,-0.03,0.11,-0.01
-5.74,-7.39,-4.04,0.09,0.16,-0.04
-6.15,-7.01,-3.96,-0.02,0.07,-0.04
-5.99,-7.44,-3.84,0.07,0.15,-0.01
-6.26,-7.54,-3.97,-0.03,0.02,0.01
-6.56,-7.11,-4.19,0.00,0.14,0.02
-5.60,-6.85,-4.19,0.10,0.21,0.06
-5.26,-7.47,-3.99,-0.08,-0.06,-0.03
-6.54,-6.62,-4.05,-0.00,0.05,0.02
-5.46,-7.01,-3.81,0.10,0.24,0.04
-5.54,-7.10,-4.35,-0.13,-0.05,-0.02
-6.07,-6.37,-3.98,0.00,-0.14,-0.04
-6.03,-6.59,-3.73,0.02,-0.24,0.02
-6.67,-6.97,-4.10,0.22,0.22,0.02
-5.45,-7.90,-3.95,0.11,0.19,0.07
-6.13,-7.52,-4.32,-0.03,-0.04,0.05
-6.05,-7.14,-4.23,0.03,0.25,0.07
-6.08,-7.45,-4.17,-0.00,0.15,0.10
-5.60,-7.61,-4.01,-0.10,-0.01,0.04
-5.58,-6.53,-3.90,-0.19,-0.44,0.14
-6.27,-5.69,-3.58,0.28,0.09,0.27
-5.59,-6.76,-3.51,0.15,-0.02,0.04
-6.48,-6.59,-4.11,0.16,0.14,0.10
-5.59,-7.70,-3.99,0.11,0.16,0.09
-6.12,-7.05,-4.22,-0.16,-0.10,0.02
-6.25,-7.41,-4.06,-0.04,0.09,-0.02
-4.90,-7.94,-3.58,-0.27,-0.30,-0.07
-8.11,-4.77,-3.21,0.21,-0.04,0.28
-3.82,-5.83,-2.54,0.38,0.20,-0.25
-6.51,-5.77,-3.25,-0.19,-0.32,0.12
-6.74,-6.96,-3.82,0.40,0.48,0.03
-4.82,-9.21,-3.39,-0.25,-0.19,-0.13
-7.81,-6.34,-2.73,-0.51,-0.38,-0.07
-6.62,-6.15,-3.21,-0.09,0.07,-0.10
-6.79,-6.78,-3.65,0.06,0.09,0.11
-6.22,-7.12,-3.38,0.26,0.31,0.13
-5.79,-7.44,-3.31,0.12,0.09,0.15
-6.59,-6.75,-3.46,0.14,0.17,0.11
-6.35,-7.12,-3.84,0.08,0.34,0.06
-5.77,-6.95,-3.67,-0.03,0.20,-0.09
-5.65,-6.56,-3.61,0.08,0.11,-0.09
-6.03,-6.76,-3.50,0.00,0.01,-0.09
-6.80,-6.89,-3.80,0.12,0.34,0.02
-5.90,-7.54,-3.94,0.03,0.37,-0.01
-5.45,-6.84,-3.76,-0.02,0.04,-0.07
-5.65,-7.08,-3.45,0.01,-0.14,-0.13
-6.13,-7.08,-3.39,0.01,-0.18,-0.09
-7.38,-7.03,-3.83,-0.00,0.01,-0.04
-5.68,-7.56,-3.82,0.14,0.31,-0.05
-5.37,-7.28,-3.56,-0.08,-0.16,-0.08
-6.10,-7.24,-3.15,-0.10,-0.06,-0.13
