accx,accy,accz,gyrox,gyroy,gyroz
2.04,1.11,-10.47,-0.10,-0.22,-0.00
2.38,1.29,-10.68,-0.03,0.02,-0.06
2.84,0.45,-10.13,-0.16,-0.28,-0.17
1.97,2.56,-10.24,-0.29,-0.15,-0.21
2.39,-0.41,-10.01,0.13,-0.51,0.10
1.02,1.93,-10.77,-0.26,-0.50,-0.12
1.98,1.83,-10.80,-0.14,0.09,-0.42
0.22,0.55,-9.54,0.05,-0.53,-0.34
1.82,4.03,-10.15,0.80,-0.25,-0.22
1.04,0.59,-10.51,0.34,-0.18,-0.62
-0.84,1.21,-10.75,0.46,-0.77,-0.23
-1.08,2.64,-10.48,0.79,0.61,-0.43
0.47,-0.53,-11.87,1.19,0.24,-0.59
2.52,0.14,-11.05,1.41,0.14,-0.14
0.57,-0.47,-11.37,1.41,0.27,-0.06
2.63,-4.92,-10.98,1.67,-0.24,0.25
1.27,-3.44,-10.74,0.32,-0.34,-0.23
-0.17,-3.20,-10.75,1.30,0.08,-0.02
2.02,-4.50,-10.52,0.94,-0.27,0.27
-2.21,-4.54,-10.41,1.34,-0.60,0.20
2.41,-4.98,-8.97,1.76,-0.43,0.17
-1.69,-4.29,-9.92,0.23,-0.02,-0.44
-4.07,-7.34,-4.71,3.76,0.81,2.68
8.20,-4.59,-4.76,0.94,1.22,-1.19
-4.86,-9.05,-8.14,0.59,-0.30,-0.28
2.77,-8.58,-6.40,2.44,0.09,0.02
-2.15,-10.80,-5.62,0.04,0.25,-0.46
-0.99,-9.98,-5.42,1.45,0.46,0.10
3.01,-9.64,-4.27,0.83,-0.11,-0.05
0.01,-7.52,-4.26,0.80,-0.93,0.15
0.48,-10.36,-3.44,0.43,0.18,-0.02
0.93,-11.77,-0.16,2.69,-1.32,-1.76
-1.60,-9.98,-1.38,3.08,-0.92,-0.46
0.13,-9.10,-0.22,1.84,0.26,-0.53
-0.36,-11.75,-0.23,0.83,0.82,-0.57
-0.63,-10.60,0.59,0.40,0.77,-0.64
10.16,15.41,5.61,-4.37,4.37,-3.88
-11.70,-23.61,-1.75,4.37,0.78,2.32
12.73,-4.10,0.96,0.02,2.25,0.16
-3.88,-15.43,-2.99,-0.76,1.37,-0.01
5.51,-10.76,-2.13,0.43,0.95,1.27
1.55,-10.34,-1.79,-0.37,1.15,0.54
3.02,-9.57,-2.98,-0.31,0.11,0.86
0.29,-6.82,-4.27,-0.00,-0.47,1.19
-0.27,-8.01,-2.91,0.40,-0.01,0.60
1.74,-8.68,-2.92,0.92,0.62,1.59
0.68,-9.45,-1.60,0.15,-0.45,0.57
-1.42,-9.14,1.62,0.57,-1.05,1.21
-1.01,-7.51,1.26,-0.01,-0.98,0.03
2.92,-9.67,3.06,1.29,-1.87,-0.18
-9.67,-6.97,2.50,-1.29,-1.50,-0.23
-3.61,-12.12,2.98,2.22,0.22,0.99
-1.56,-9.30,4.80,-1.27,-2.32,0.13
-8.03,-7.84,2.81,0.36,0.01,-0.05
-1.88,-9.03,3.49,0.26,-0.11,0.06
-7.52,-8.70,3.00,0.78,0.52,-0.00
-3.24,-13.26,4.74,0.58,0.86,0.06
-7.52,-11.04,3.33,-0.04,0.79,0.41
-0.70,-11.53,3.34,-0.54,1.10,0.16
-5.42,-6.58,2.11,-1.48,-0.20,0.28
-4.34,-7.72,1.56,-0.05,1.81,0.03
0.31,-7.90,2.05,-0.82,0.37,0.20
-3.67,-7.22,1.13,-0.64,-0.28,0.85
-2.59,-7.10,1.34,-1.06,0.08,0.14
-3.35,-6.00,-0.78,-0.97,0.31,0.33
-4.89,-7.85,-0.98,-0.41,0.15,0.22
-4.76,-9.36,-1.83,-0.68,0.08,0.71
-6.21,-6.10,-2.87,-1.03,0.27,0.30
-3.98,-8.41,-1.81,-0.11,0.90,0.17
-3.29,-7.30,-2.69,-0.54,-0.02,0.14
-5.35,-7.85,-2.66,-0.33,0.11,0.02
-5.52,-8.13,-2.73,0.02,0.06,0.14
-5.26,-8.55,-0.91,0.22,0.29,0.19
-5.66,-5.91,-3.02,0.03,0.45,0.22
-4.09,-8.85,-2.47,0.33,0.63,0.15
-3.96,-8.49,-2.98,-0.04,-0.06,0.16
-5.28,-7.89,-2.91,0.04,-0.10,-0.04
-4.89,-8.12,-2.73,-0.01,0.05,-0.17
-4.73,-8.52,-2.08,0.11,-0.18,0.09
-5.63,-7.39,-2.84,-0.06,-0.07,0.08
-4.99,-7.58,-2.38,0.24,0.37,-0.15
-4.37,-8.54,-2.03,0.08,-0.06,0.11
-5.24,-7.87,-2.74,0.15,-0.04,0.14
-5.00,-8.34,-2.19,0.04,-0.06,0.01
-5.64,-8.43,-2.39,0.11,0.11,0.07
-5.03,-8.11,-2.37,0.05,0.08,0.01
-5.08,-8.62,-2.33,-0.05,0.04,0.04
-5.48,-8.03,-2.25,-0.03,0.03,0.07
-4.91,-8.23,-2.26,0.09,0.08,0.08
-5.29,-8.89,-2.29,-0.01,-0.10,0.24
-6.28,-8.07,-2.43,-0.03,-0.04,0.14
-4.78,-8.40,-2.43,0.13,0.15,0.04
-5.76,-8.62,-2.83,-0.20,-0.14,-0.03
-6.28,-8.31,-2.20,-0.01,0.01,0.06
-5.10,-7.87,-2.33,-0.03,0.07,0.05
