accx,accy,accz,gyrox,gyroy,gyroz
1.38,1.09,-10.63,0.24,-0.04,0.10
2.86,0.68,-10.41,-0.21,0.01,-0.18
1.38,0.49,-10.26,0.01,-0.27,-0.06
1.72,2.40,-10.50,0.03,-0.15,-0.22
2.44,1.85,-10.49,0.17,-0.04,-0.36
1.21,2.57,-10.29,0.93,-0.45,-0.37
-0.03,4.71,-13.27,1.51,0.01,-0.51
-1.86,-2.04,-11.94,2.38,0.24,-0.38
-0.08,-3.11,-10.82,2.53,1.33,-0.25
4.21,-4.20,-12.57,1.62,1.23,-0.82
5.89,-6.81,-9.61,1.51,-0.54,0.64
4.82,-3.82,-9.74,0.67,-0.89,0.78
-2.29,-4.77,-9.43,0.20,-1.32,-0.15
0.90,-4.88,-9.17,1.04,0.58,-0.48
5.22,-6.37,-8.20,0.78,-0.68,-0.25
-1.22,-8.21,-8.41,0.26,-1.73,0.23
2.20,-5.16,-8.04,0.77,-0.44,0.61
-2.96,-7.32,-6.49,-0.04,-1.78,-0.39
-1.61,-2.07,-7.60,1.98,0.98,-0.93
5.53,-10.44,-5.68,1.17,0.13,-0.28
-0.28,-8.32,-6.29,0.30,-3.06,0.46
-8.32,-4.80,-7.75,0.09,-0.09,0.02
1.95,-10.02,-6.86,2.29,0.45,0.37
-3.65,-8.22,-6.89,0.13,-0.90,0.32
-3.15,-7.49,-5.72,1.01,0.54,0.39
1.41,-10.31,-5.05,0.79,-0.16,0.75
-4.12,-6.96,-3.95,-0.45,-0.99,0.39
-5.71,-8.10,-4.72,0.40,0.29,0.46
-1.56,-7.07,-5.23,0.49,0.50,0.33
-3.79,-8.36,-4.87,1.15,-0.50,0.43
-0.95,-4.03,-6.16,1.59,0.72,0.64
-4.55,-12.03,-3.79,0.87,0.07,-0.03
-3.34,-10.10,-1.36,1.02,-1.18,-0.14
-4.07,-8.85,-0.08,1.23,1.02,-0.65
-1.58,-12.65,0.00,0.37,0.28,0.33
-4.15,-9.35,0.96,0.39,-0.88,0.95
-7.91,-11.10,1.72,0.69,-0.20,0.52
-5.93,-10.34,1.48,0.45,-0.08,0.18
-6.79,-8.46,1.04,0.58,0.23,0.16
-4.98,-9.84,1.77,0.84,0.72,0.41
-5.42,-9.47,2.24,-0.03,0.35,0.10
-5.60,-7.44,0.28,0.02,1.51,-0.21
-3.98,-8.62,1.14,0.55,0.22,-0.15
-3.91,-8.29,1.03,0.76,1.22,0.12
-3.51,-10.72,1.79,-0.04,1.23,0.53
-4.25,-7.10,-0.09,-0.39,1.33,0.70
-3.28,-8.84,0.16,-0.05,1.30,0.75
-5.45,-8.38,-1.01,-0.46,1.25,0.70
-4.15,-7.89,-1.87,-0.28,1.82,0.74
-2.57,-6.38,-2.66,-0.41,0.98,0.70
-3.75,-7.25,-2.82,-0.58,0.28,0.38
-6.11,-5.59,-3.18,-0.74,0.10,0.43
-6.85,-6.22,-4.13,0.19,1.57,0.24
-2.76,-8.55,-3.47,-0.03,0.95,0.35
-4.43,-4.63,-5.67,-0.46,-0.00,0.19
-6.19,-6.73,-4.93,0.31,-0.13,0.07
-5.04,-7.96,-4.45,0.12,-0.32,0.28
-6.45,-7.29,-4.19,-0.17,-0.39,0.38
-6.87,-6.40,-4.25,0.13,0.01,0.34
-5.13,-7.25,-3.78,-0.09,-0.30,0.26
-7.36,-5.62,-3.94,-0.22,-0.59,0.23
-6.90,-6.29,-3.51,0.06,-0.06,-0.02
-6.37,-6.63,-3.61,-0.22,-0.19,-0.07
-7.36,-6.22,-3.79,-0.27,-0.19,-0.00
-7.32,-6.95,-3.55,-0.12,-0.31,0.08
-7.55,-6.54,-3.82,-0.15,-0.24,0.07
-7.78,-6.88,-3.27,-0.24,-0.31,0.11
-7.56,-6.17,-3.68,-0.31,0.08,-0.04
-7.50,-6.29,-3.52,-0.23,0.11,0.02
-6.59,-5.73,-3.89,-0.15,0.20,-0.06
-6.60,-6.01,-3.54,-0.27,-0.19,-0.06
-7.31,-5.67,-3.84,-0.13,0.01,-0.02
-6.78,-6.07,-3.72,-0.08,-0.01,-0.06
-7.10,-5.60,-3.79,-0.15,-0.02,-0.14
-7.32,-6.12,-3.71,0.00,0.09,-0.08
-6.51,-6.10,-3.72,-0.04,0.03,-0.11
-7.26,-5.83,-4.00,-0.24,0.18,-0.16
-6.76,-6.36,-3.78,0.06,0.22,-0.16
-6.81,-6.38,-4.05,-0.02,0.28,-0.23
-7.15,-6.39,-4.23,-0.01,0.36,-0.16
-6.52,-6.38,-3.70,0.24,0.25,0.06
-7.49,-6.70,-3.74,0.21,0.45,-0.31
-5.94,-5.96,-3.85,0.17,-0.18,0.17
-6.71,-6.84,-3.58,0.13,-0.10,0.22
-5.50,-5.27,-4.08,-0.04,-0.12,0.01
-7.69,-5.91,-3.98,0.15,-0.24,-0.06
-6.69,-6.52,-3.77,0.60,0.48,-0.45
-3.92,-8.06,-2.96,0.00,-0.78,-0.40
-8.54,-5.85,-2.91,-0.42,-1.17,-0.22
-7.95,-6.12,-3.11,0.50,0.32,-0.17
-5.85,-9.21,-2.99,0.22,0.15,0.10
-7.11,-7.73,-2.88,-0.06,-0.58,0.29
-7.89,-6.84,-2.88,0.16,0.20,0.05
-6.05,-7.64,-2.70,0.27,0.17,0.04
-6.00,-7.40,-2.44,-0.04,-0.26,0.01
