accx,accy,accz,gyrox,gyroy,gyroz
-7.58,-6.34,-2.82,-0.18,-0.35,0.05
-6.21,-7.79,-2.54,0.16,0.38,-0.08
-5.70,-7.79,-3.17,-0.04,-0.05,-0.00
-6.07,-6.81,-2.39,-0.22,-0.20,-0.09
-5.96,-6.64,-3.13,0.58,-0.02,0.06
-5.25,-6.45,-3.36,0.65,-0.26,-0.10
-5.14,-5.79,-2.94,0.67,-0.58,-0.09
-5.34,-7.37,-2.04,0.93,-0.66,-0.14
-6.71,-7.29,-1.82,0.77,-0.99,-0.11
-8.50,-6.84,-1.39,1.03,-0.01,-0.10
-6.89,-7.64,-0.76,1.66,0.14,-0.21
-3.35,-9.80,0.45,0.84,-0.59,-0.01
-6.49,-5.68,1.16,0.76,-0.87,-0.06
-4.15,-7.42,1.95,1.09,-0.29,-0.20
-4.55,-8.28,3.19,0.45,-0.93,0.03
-6.89,-10.08,3.37,0.59,-0.77,0.25
-5.73,-8.42,4.35,0.13,-0.40,0.34
-5.71,-8.01,6.18,0.20,-0.35,0.32
-5.01,-8.17,7.31,0.24,-0.61,0.29
-6.78,-9.16,7.02,-0.18,-0.40,0.23
-8.40,-8.78,7.30,-0.45,-0.81,0.36
-7.59,-6.30,6.33,0.23,0.99,0.00
-3.82,-9.93,5.95,-0.51,0.08,0.10
-8.54,-5.14,4.09,-0.98,-0.06,0.09
-5.53,-7.35,4.43,-0.31,1.20,0.15
-4.04,-6.66,3.32,-1.02,0.69,0.28
-5.08,-5.95,1.98,-0.97,1.02,0.14
-4.76,-6.76,2.26,-1.25,0.70,0.02
-5.90,-5.57,1.75,-1.24,0.58,0.08
-5.71,-6.11,0.95,-1.24,1.41,-0.13
-4.08,-6.70,0.08,-1.66,0.69,0.41
-6.20,-2.10,0.43,-1.09,1.56,0.23
-5.52,-5.02,-2.00,-1.35,3.13,-0.26
-2.63,-6.99,-3.44,-0.53,1.56,-0.02
-2.69,-5.99,-4.47,-1.08,0.16,0.09
-6.13,-6.87,-4.39,-0.82,0.20,0.26
-4.99,-5.89,-4.93,-0.57,0.13,0.04
-6.79,-7.07,-4.93,-0.55,-0.00,-0.13
-4.54,-4.92,-5.67,-0.43,-0.11,-0.08
-6.53,-4.90,-6.17,-0.33,0.04,-0.16
-4.82,-6.03,-5.85,0.05,0.00,0.10
-4.88,-5.36,-6.27,-0.02,-0.37,0.15
-7.06,-6.71,-5.77,-0.13,-0.52,0.33
-7.45,-6.89,-4.95,0.30,0.15,0.21
-5.27,-6.28,-5.16,0.02,0.18,0.09
-6.25,-5.27,-5.37,-0.24,0.15,-0.08
-5.74,-6.58,-5.15,0.12,-0.08,0.14
-6.26,-6.11,-5.02,0.09,-0.45,0.14
-6.84,-6.23,-5.02,0.06,-0.30,0.09
-7.45,-6.71,-4.43,-0.16,-0.26,0.22
-7.49,-5.53,-4.95,-0.08,0.12,0.11
-6.26,-6.07,-4.86,-0.06,0.17,0.04
-6.74,-5.90,-4.27,-0.17,-0.30,0.12
-7.18,-5.16,-4.65,0.06,0.02,0.11
-6.28,-5.82,-4.70,-0.06,0.02,0.12
-7.07,-5.66,-4.69,-0.10,-0.08,0.14
-7.25,-5.73,-4.66,-0.05,0.03,0.09
-6.81,-5.60,-4.57,-0.03,-0.02,0.07
-6.81,-5.23,-4.73,-0.10,-0.04,-0.03
-7.18,-5.16,-4.60,-0.16,-0.07,0.00
-7.55,-5.37,-4.50,-0.08,-0.02,0.04
-7.22,-5.88,-4.24,0.06,-0.01,0.06
-6.93,-5.17,-4.61,-0.11,0.04,-0.00
-7.11,-5.11,-4.56,0.01,0.12,0.01
-6.57,-5.45,-4.49,-0.08,-0.05,0.02
-7.60,-5.37,-4.48,-0.11,-0.24,0.08
-7.57,-5.25,-4.40,-0.03,0.08,-0.03
-6.83,-5.63,-4.36,-0.06,-0.10,0.04
-7.49,-4.86,-4.18,-0.11,-0.11,0.03
-7.15,-5.19,-4.33,-0.01,-0.01,-0.01
-7.64,-5.38,-4.29,-0.13,-0.11,0.01
-7.37,-5.05,-4.33,0.05,0.11,0.04
-7.04,-5.28,-4.37,-0.13,-0.03,-0.02
-7.58,-4.93,-4.04,-0.02,-0.09,0.07
-7.09,-4.98,-4.19,0.09,0.10,0.09
-7.12,-5.16,-4.42,-0.05,-0.03,0.01
-7.62,-5.42,-4.18,-0.05,-0.02,0.00
-7.77,-5.12,-4.33,0.02,0.13,0.04
-7.13,-5.27,-4.26,-0.01,0.16,-0.02
-7.58,-5.32,-4.53,0.05,0.07,0.09
-7.00,-5.54,-4.54,0.02,0.00,0.05
-7.69,-5.13,-4.43,-0.10,-0.04,-0.04
-7.52,-5.45,-4.28,0.01,0.04,0.02
-7.21,-5.27,-4.41,0.01,0.04,0.03
-7.35,-5.11,-4.37,-0.10,-0.04,-0.00
-7.49,-5.36,-4.33,-0.02,0.09,-0.01
-7.17,-5.53,-4.43,-0.06,-0.05,0.04
-7.86,-5.46,-4.49,-0.07,-0.13,0.14
-7.26,-5.54,-4.37,0.07,0.01,0.11
-7.37,-5.28,-4.53,-0.10,-0.17,0.03
-7.83,-5.21,-4.42,-0.10,0.06,-0.08
-7.31,-5.59,-4.28,-0.04,-0.01,0.02
-7.84,-5.31,-4.56,-0.11,-0.03,0.07
-7.59,-5.80,-4.61,-0.06,0.11,-0.05
-7.73,-5.55,-4.33,-0.06,-0.15,0.04
