accx,accy,accz,gyrox,gyroy,gyroz
-4.82,-8.26,0.04,0.03,-0.01,0.00
-5.53,-7.67,-0.27,0.05,0.01,0.01
-5.44,-7.96,-0.13,0.14,0.11,-0.03
-5.23,-8.23,-0.14,0.13,0.09,0.03
-6.03,-7.95,-0.26,0.19,0.16,0.14
-4.83,-8.24,-0.05,0.26,0.20,0.14
-5.45,-7.77,-0.28,0.06,-0.21,0.17
-5.57,-7.73,-0.26,0.34,0.12,0.05
-4.80,-8.23,-0.06,0.16,-0.25,0.07
-6.34,-7.62,-0.45,0.27,-0.11,0.09
-4.66,-8.40,0.12,0.43,-0.18,0.04
-5.54,-7.15,0.18,0.35,-0.36,0.04
-4.50,-7.60,1.13,0.52,-0.25,0.10
-4.36,-7.38,0.78,0.32,-0.62,0.12
-5.72,-7.23,1.35,0.41,-0.42,0.21
-5.06,-8.15,1.94,0.17,-0.69,0.23
-6.64,-7.36,2.34,0.25,-0.68,0.39
-5.20,-8.38,3.06,0.41,-0.42,0.35
-6.16,-9.16,3.39,-0.37,-0.87,0.57
-7.11,-6.34,3.94,-0.18,-0.62,0.03
-4.83,-5.80,3.72,0.29,-0.32,0.43
-5.33,-7.11,4.44,0.06,-0.61,0.38
-6.00,-6.50,4.96,0.18,-0.36,0.31
-4.56,-7.08,5.45,0.04,-0.46,0.18
-5.47,-6.10,5.62,0.03,-0.67,0.19
-6.23,-5.66,5.76,0.02,-0.60,0.09
-6.00,-7.69,6.71,0.14,-0.42,0.25
-6.92,-6.11,6.07,-0.12,-0.31,0.30
-5.94,-5.61,5.19,0.15,0.04,0.53
-4.39,-5.91,5.62,-0.01,-0.18,0.66
-6.23,-5.35,5.43,0.05,0.05,0.30
-5.15,-5.34,5.13,-0.16,0.07,0.21
-6.27,-4.13,5.64,-0.43,-0.01,0.35
-5.88,-4.15,4.92,0.03,0.40,0.39
-5.16,-5.33,5.07,-0.19,0.25,0.45
-5.49,-5.72,4.52,-0.00,-0.01,0.24
-6.76,-4.08,5.18,-0.07,0.24,-0.03
-6.53,-7.35,5.79,-0.55,0.30,-0.02
-7.07,-5.70,4.49,-0.64,0.46,-0.23
-5.28,-5.98,5.19,-1.09,0.00,-0.51
-5.54,-4.52,3.40,-0.66,0.89,-0.50
-3.55,-6.26,2.65,-0.38,0.65,-0.71
-5.05,-5.67,2.75,-0.64,-0.13,-0.35
-6.71,-6.25,2.36,-0.39,0.59,-0.34
-6.11,-8.94,2.83,-0.35,0.28,-0.12
-6.09,-7.37,2.45,-0.37,0.11,-0.31
-5.93,-7.47,2.41,-0.44,0.44,-0.52
-5.53,-7.38,2.39,-0.53,0.50,-0.34
-5.83,-6.46,1.23,-0.66,1.57,-0.84
-4.75,-9.33,0.56,-0.25,1.27,-0.40
-3.72,-8.64,0.02,-0.56,0.34,0.08
-6.32,-7.65,-0.13,-0.72,0.59,-0.53
-4.58,-9.28,-0.56,-0.77,0.95,0.02
-5.26,-7.06,-1.74,-0.32,0.39,0.00
-3.31,-7.23,-2.32,-0.33,0.87,0.51
-5.94,-9.16,-2.24,-0.30,0.19,0.10
-5.18,-8.41,-2.32,-0.52,0.52,0.16
-4.23,-7.60,-2.93,-0.38,0.78,0.19
-3.57,-7.48,-3.26,-0.45,0.78,0.14
-3.90,-7.27,-3.61,-0.37,0.23,0.25
-4.47,-7.07,-3.52,-0.13,-0.01,0.20
-4.87,-7.51,-3.75,0.05,-0.33,0.05
-5.09,-9.06,-2.89,-0.26,-0.57,0.25
-6.76,-6.40,-3.77,-0.83,-0.39,0.18
-6.10,-4.81,-4.10,0.36,0.76,-0.08
-3.23,-9.78,-3.09,0.44,-0.12,-0.12
-7.48,-8.05,-2.75,-0.31,-0.54,0.13
-5.54,-7.61,-2.50,0.24,0.44,0.42
-6.47,-7.43,-3.06,-0.64,0.40,0.18
-4.62,-7.02,-4.19,0.10,0.55,0.23
-5.17,-8.02,-3.14,-0.28,-0.60,0.11
-6.56,-7.09,-3.36,-0.12,-0.06,0.05
-5.25,-6.55,-3.50,-0.18,0.10,0.18
-6.83,-7.31,-3.56,-0.18,0.40,0.08
-4.98,-6.56,-4.29,-0.08,0.25,0.09
-6.73,-7.20,-3.96,-0.17,-0.05,0.05
-5.60,-7.28,-3.71,0.05,0.12,-0.02
-6.57,-6.76,-3.95,-0.26,-0.18,0.14
-5.84,-6.94,-3.93,0.23,0.10,0.22
-6.22,-7.45,-3.56,-0.28,-0.17,-0.01
-7.39,-6.89,-3.90,-0.06,0.19,0.21
-5.70,-7.40,-3.80,-0.07,0.23,0.38
-6.28,-5.46,-4.64,-0.10,0.04,0.33
-6.04,-6.68,-4.05,0.13,-0.12,0.25
-6.66,-6.35,-4.00,0.02,-0.30,0.24
-7.61,-7.08,-3.46,0.03,-0.27,0.32
-7.83,-5.40,-3.84,-0.05,0.29,0.10
-5.92,-6.67,-3.77,0.13,0.39,0.09
-6.73,-6.33,-3.90,-0.18,-0.30,0.08
-7.35,-6.06,-3.69,0.12,-0.04,0.06
-6.80,-6.49,-3.88,-0.12,0.02,-0.07
-7.42,-6.28,-3.67,-0.08,0.04,-0.02
-6.84,-5.91,-3.90,-0.04,0.09,-0.08
-7.05,-6.67,-3.73,-0.04,-0.09,-0.09
-7.14,-5.86,-3.75,-0.01,0.03,-0.04
