accx,accy,accz,gyrox,gyroy,gyroz
-8.03,-5.36,-2.81,0.06,0.17,0.01
-6.72,-6.08,-2.99,-0.03,0.04,0.01
-7.59,-5.58,-2.85,-0.14,-0.09,-0.09
-7.67,-5.96,-2.95,-0.02,-0.05,0.02
-7.69,-5.94,-2.80,0.01,0.12,-0.19
-6.63,-5.37,-2.78,0.04,0.03,-0.16
-7.51,-6.33,-2.72,-0.16,-0.28,-0.21
-8.02,-5.69,-2.97,0.09,0.06,-0.15
-6.50,-6.39,-2.61,-0.05,-0.36,-0.16
-7.46,-4.72,-2.45,-0.07,-0.28,-0.34
-7.59,-5.18,-2.45,0.10,-0.03,-0.34
-6.87,-5.79,-2.37,0.43,0.21,-0.33
-5.20,-6.50,-2.06,0.31,-0.47,-0.32
-6.23,-6.19,-2.45,0.50,-0.54,-0.53
-5.50,-7.18,-1.55,0.46,-0.98,-0.58
-6.72,-5.69,-1.47,0.88,-0.79,-0.70
-5.56,-7.35,-0.51,1.06,-0.99,-0.48
-5.16,-5.76,-0.03,1.37,-0.70,-0.82
-5.49,-3.64,1.08,1.62,0.63,-0.81
1.95,-6.23,2.60,2.86,-0.13,-0.35
-4.23,-6.90,2.99,0.49,-2.26,-0.74
-6.85,-5.75,4.45,1.39,-0.54,-1.00
0.91,-5.26,4.10,1.91,-0.43,-0.68
-9.06,-6.10,4.63,-0.34,0.04,-1.86
-3.45,-5.71,5.45,2.07,3.28,-1.92
1.91,-10.96,5.51,0.41,0.89,-1.53
0.45,-7.52,6.81,-2.16,-0.97,-1.48
-3.90,-6.03,5.88,1.17,-0.85,0.01
2.22,-11.00,6.64,-0.74,-0.82,-0.19
-6.01,-7.86,4.04,-0.49,-0.61,0.04
-0.02,-11.08,7.05,0.29,-0.58,0.81
-1.92,-9.00,6.80,-1.50,0.15,0.62
-2.76,-7.53,5.67,-1.07,1.26,0.52
0.79,-11.15,5.91,-0.86,0.50,0.93
-3.73,-9.28,5.76,-1.84,0.55,0.98
-1.61,-7.91,3.26,-1.52,1.14,0.47
-2.16,-14.72,4.39,0.08,-0.96,1.64
-4.34,-7.69,2.65,-1.18,-0.48,1.06
-4.70,-10.69,2.90,-0.19,-0.30,1.32
-6.62,-8.59,1.72,-1.33,0.45,1.04
-7.66,-8.16,-0.82,0.05,-0.03,0.70
-7.95,-6.33,-0.08,-0.38,0.49,0.46
-5.41,-2.69,1.11,-2.16,3.85,-0.46
-4.36,-9.61,-0.13,0.50,0.47,0.88
-3.94,-5.53,-0.06,0.22,-1.14,0.78
-5.20,-3.51,-0.88,-1.37,0.95,-0.94
-3.49,-5.41,-2.55,0.14,0.26,-0.76
-8.15,-9.95,-2.69,-1.24,0.28,-0.60
-3.49,-4.01,-1.60,0.66,-0.55,-0.03
-6.98,-10.72,-1.57,0.39,0.80,0.17
0.27,-1.84,-0.29,2.02,2.94,0.88
8.20,-21.97,3.31,-1.47,-1.68,-0.83
-19.19,6.34,-4.42,-4.31,-1.83,-1.81
-10.38,-13.07,-1.11,2.83,2.19,1.74
3.64,-10.78,-1.63,-1.66,1.01,-0.85
-8.64,-7.56,-2.95,-1.93,-1.61,0.48
-8.70,-4.27,-4.10,-0.36,0.88,0.17
-4.94,-8.76,-3.82,-0.58,0.34,0.04
-7.46,-6.17,-4.07,-0.35,-0.05,0.21
-5.38,-7.00,-4.95,-0.09,0.60,-0.09
-3.14,-6.95,-5.38,0.01,0.09,-0.19
-4.24,-6.89,-5.03,-0.15,-0.21,-0.10
-5.21,-7.66,-5.58,-0.17,-0.47,0.08
-5.90,-7.57,-5.52,0.36,-0.39,0.30
-4.69,-8.16,-4.13,0.01,-0.03,0.23
-7.24,-11.36,-4.57,-0.58,-1.48,0.48
-7.81,-4.51,-4.31,-0.03,-0.24,0.12
-2.95,-7.58,-3.82,-0.04,0.85,0.28
-5.46,-6.40,-5.06,-0.45,-0.52,0.81
-4.64,-8.07,-4.15,-0.12,-0.84,-0.06
-11.35,-6.09,-2.24,-0.49,-0.65,-0.18
-5.54,-5.60,-1.59,0.70,1.83,0.15
-1.49,-7.92,-2.14,0.25,0.26,0.34
-5.67,-7.26,-2.73,0.13,-0.96,0.28
-6.01,-8.71,-2.96,0.29,-0.95,-0.14
-10.47,-7.91,-2.08,-0.28,-0.60,0.39
-5.22,-6.24,-2.96,0.75,1.10,0.48
-3.96,-8.28,-2.49,-0.35,-0.57,-0.10
-9.27,-5.65,-3.13,-0.14,-0.03,-0.18
-6.00,-8.20,-2.14,0.07,0.21,0.12
-6.39,-6.73,-2.86,-0.13,-0.18,0.16
-6.90,-7.18,-2.64,-0.03,-0.10,0.05
-6.32,-7.41,-3.23,-0.16,0.13,0.16
-10.38,-9.62,-1.72,-1.08,0.76,1.35
-1.36,-3.81,-5.00,-0.01,2.23,-0.02
-1.93,-14.34,-4.05,-0.09,-2.38,0.35
-12.81,-3.61,-2.84,-0.85,-3.01,-0.06
-8.19,-2.77,-2.85,0.26,1.79,-0.43
-3.33,-9.76,-3.42,0.13,-0.53,0.20
-9.13,-4.83,-3.65,-0.10,-1.04,0.06
-7.45,-6.80,-3.16,0.35,-0.29,-0.01
-8.41,-7.41,-2.75,0.08,0.32,-0.03
-5.33,-7.31,-2.25,-0.00,-0.52,0.19
-9.76,-4.11,-1.91,-0.10,-0.57,0.19
-9.89,-6.60,-1.48,0.34,0.44,0.71
