accx,accy,accz,gyrox,gyroy,gyroz
-4.69,-7.25,-5.61,0.01,-0.14,0.01
-3.47,-6.24,-5.68,0.28,0.18,-0.30
-3.56,-4.45,-4.90,-0.17,-1.16,0.28
-5.19,-2.97,-5.14,1.06,0.49,-0.13
1.14,-6.91,-2.55,0.56,-0.33,-0.08
-2.97,-3.04,-3.20,-0.36,-1.01,-0.06
-4.15,-2.25,-1.95,1.11,-0.11,0.08
-6.13,-10.20,-2.58,2.68,-0.14,0.88
1.90,-10.13,0.00,-1.27,-0.08,-0.81
-11.41,-6.39,-3.15,-0.41,-0.81,-0.07
-3.68,-12.23,-1.65,1.04,0.48,0.24
-6.10,-9.08,-2.05,-0.32,-0.98,0.25
-6.69,-8.96,-2.04,-0.02,0.02,-0.07
-5.37,-9.08,-1.70,-0.39,-0.26,0.01
-7.54,-9.96,-2.52,-0.09,0.27,0.05
-4.96,-10.11,-2.00,-0.57,0.16,0.16
-5.72,-9.41,-3.13,-0.76,0.11,-0.00
-4.43,-11.03,-2.90,-1.29,-0.16,0.05
-8.46,-8.26,-2.89,-1.65,-1.13,0.32
-11.53,-8.14,-5.49,0.11,1.05,0.33
-6.00,-12.71,-5.65,0.06,1.00,0.57
-3.58,-8.81,-5.83,-1.70,0.07,0.22
-5.09,-1.47,-5.95,-1.18,0.02,-0.08
-4.07,-2.76,-5.41,-0.44,0.60,-0.24
-6.85,-3.31,-5.01,0.13,-0.05,0.14
-5.17,-6.11,-5.98,1.78,0.96,0.44
-2.60,-8.31,-5.59,0.49,-0.73,0.44
-6.60,-4.60,-6.01,0.18,-0.77,-0.27
-7.06,-5.46,-4.31,0.52,-0.59,-0.56
-6.08,-6.14,-3.57,1.42,-0.10,-0.48
-3.03,-7.68,-2.74,0.84,-0.98,-0.36
-6.54,-7.45,-2.34,1.05,-1.23,-0.18
-3.78,-7.86,-0.75,0.67,-0.95,-0.46
-6.63,-8.18,-0.39,0.86,-1.38,-0.51
-6.40,-8.61,1.07,1.06,-0.63,-0.31
-5.05,-9.25,1.80,0.89,-0.54,-0.33
-5.66,-8.86,2.46,0.75,-0.34,-0.08
-4.61,-9.07,3.29,0.38,-0.33,0.12
-4.53,-7.55,3.22,0.38,-0.14,-0.09
-3.52,-6.14,5.00,0.17,0.11,-0.12
-3.68,-6.98,4.35,0.92,-0.26,0.11
-2.95,-5.59,5.42,0.31,-1.12,-0.46
-7.55,-9.38,4.09,1.66,2.12,-0.70
1.15,-12.22,7.10,-0.04,-0.96,0.37
-10.48,-2.82,4.87,-0.18,0.16,-0.15
-1.75,-11.55,6.56,0.78,1.49,0.16
-6.68,-9.93,4.62,-1.05,0.03,0.18
-4.58,-9.66,4.43,-0.69,1.28,0.21
-5.13,-9.47,4.11,-1.78,0.07,0.42
-8.11,-7.68,0.90,-0.39,1.21,0.11
-1.76,-11.32,2.07,-1.95,0.42,-0.21
-8.90,-6.98,-0.51,-1.91,1.02,-0.03
-5.28,-9.07,-2.48,-1.07,1.51,0.16
-4.60,-5.39,-3.36,-1.42,0.29,0.50
-2.37,-7.32,-3.10,-1.24,1.53,0.40
-6.56,-3.42,-5.43,-1.34,0.06,0.56
-5.46,-7.01,-5.88,0.08,1.66,0.56
-4.28,-4.37,-5.91,-0.90,-0.24,0.70
-5.71,-4.74,-6.36,-0.27,0.85,0.07
-3.23,-7.24,-5.57,-0.65,-0.47,0.13
-6.43,-2.91,-6.41,-1.08,-1.01,0.23
-8.38,-4.28,-5.60,-0.02,0.28,0.14
-4.22,-6.47,-5.34,-0.01,0.64,-0.25
-11.27,-3.51,-6.76,0.21,-0.16,-0.44
-7.92,-6.31,-7.21,1.81,1.84,-0.40
0.33,-9.49,-5.98,-0.41,-0.31,-0.23
-7.83,-3.61,-6.73,-1.00,-0.17,-0.47
-5.07,-6.64,-5.49,0.17,0.26,-0.26
-4.96,-6.24,-5.75,-0.54,-0.78,-0.32
-7.85,-5.46,-5.72,0.24,0.40,-0.11
-3.31,-8.07,-4.79,-0.06,-0.03,-0.04
-6.65,-5.97,-5.60,-0.10,-0.13,0.05
-5.43,-6.59,-5.16,0.25,0.14,0.11
-3.80,-7.29,-5.34,-0.13,-0.07,0.12
-6.75,-5.77,-5.74,-0.15,-0.19,-0.05
-4.87,-6.73,-5.36,0.06,0.15,-0.14
-5.64,-6.59,-5.86,-0.21,-0.29,0.06
-5.24,-6.57,-5.39,0.17,0.10,-0.03
-4.77,-6.76,-5.15,-0.19,-0.14,0.06
-6.31,-6.27,-5.56,0.05,0.11,0.06
-4.86,-7.22,-5.18,-0.02,0.11,-0.00
-5.64,-6.24,-5.23,-0.23,-0.17,-0.03
-5.52,-6.95,-5.31,0.08,0.27,-0.00
-5.31,-7.43,-5.26,-0.13,-0.02,0.02
-6.40,-6.11,-5.79,-0.05,0.04,0.04
-4.76,-7.28,-5.49,0.14,0.30,0.00
-5.30,-7.04,-5.36,-0.26,-0.20,0.04
-6.04,-6.16,-5.49,0.01,0.13,0.04
-5.00,-7.18,-5.32,-0.04,0.07,0.04
-5.75,-6.58,-5.55,-0.08,0.03,0.00
-5.30,-7.08,-5.42,-0.11,-0.02,0.01
-5.92,-5.88,-5.67,-0.16,-0.14,0.02
-4.90,-6.81,-5.48,0.03,0.22,-0.11
-5.80,-6.45,-5.68,-0.17,-0.23,0.11
-5.15,-6.38,-5.12,0.03,0.10,0.02
