accx,accy,accz,gyrox,gyroy,gyroz
-7.51,-7.18,-3.50,-0.01,0.17,0.04
-4.84,-6.30,-3.87,0.22,0.26,-0.09
-7.43,-7.03,-4.13,-0.12,0.25,-0.21
-4.73,-5.47,-3.66,0.66,0.48,-0.15
-3.80,-7.53,-3.00,-0.19,-0.26,-0.40
-4.86,-4.08,-4.78,-0.95,-0.54,-0.42
-3.09,0.59,-3.75,-0.66,-1.06,-1.04
-4.53,-2.07,0.74,1.85,0.49,-0.40
5.78,1.93,-3.97,1.10,1.93,-1.92
-0.25,-13.83,-1.47,2.31,-2.80,0.01
-16.67,-23.32,5.11,-0.91,-3.92,-0.08
-14.49,-16.43,1.02,1.32,-0.16,-0.41
-16.48,-39.49,5.66,1.10,0.93,1.81
-12.86,-10.08,-6.63,-2.26,0.33,2.23
-18.58,-28.89,2.11,-0.79,-0.96,3.34
-8.63,-6.84,5.82,-3.70,-4.37,-0.51
5.06,14.34,19.53,-4.37,4.37,-4.37
2.74,27.53,-6.88,3.41,2.89,0.10
0.94,-9.69,-0.96,2.75,-0.37,-1.52
-9.17,-5.37,-2.32,-0.84,-0.04,-1.06
5.95,8.50,-0.52,3.01,1.05,0.73
5.16,-8.03,1.86,0.19,-1.08,-1.45
-8.09,1.28,-2.42,-1.05,-0.94,-0.54
5.25,9.27,-1.81,0.99,1.50,-1.36
-1.12,-11.45,1.35,1.09,-0.22,-0.71
-7.50,-2.47,-6.85,-0.20,2.56,-2.19
14.89,5.77,7.96,4.37,-2.57,-3.86
-37.05,-47.97,20.93,-4.37,4.37,-4.31
-9.49,-3.03,-7.31,-1.02,-2.25,2.23
-20.70,-49.31,19.03,3.87,1.80,4.37
-0.02,-1.65,-2.82,-4.26,1.80,-0.00
-31.21,-29.96,-3.08,0.78,0.27,1.22
14.26,7.87,10.41,-3.02,1.95,1.98
21.74,23.97,-3.74,-4.37,3.75,-3.96
-9.93,0.57,4.18,4.37,-4.37,1.55
-8.90,-10.32,1.39,-1.45,2.79,-1.48
13.54,14.19,-0.29,1.10,-1.83,-0.18
-8.47,-8.63,0.68,-0.37,-1.14,-1.03
0.25,-0.82,-1.37,-0.33,0.65,-0.69
2.72,5.04,-0.66,-0.72,-0.25,-0.43
-2.74,-3.75,-2.20,-1.23,1.04,-1.56
4.62,5.46,-3.10,1.79,-0.70,-0.99
-6.49,2.32,7.63,2.58,-4.37,-4.37
-24.29,-44.84,21.87,-4.37,4.37,-4.37
-6.08,-4.05,-12.91,0.96,-1.81,1.07
-39.54,-49.99,21.81,4.37,-1.43,3.20
0.22,-5.47,4.49,-4.37,1.00,-0.44
-8.25,-28.94,18.23,-1.19,-2.05,0.56
7.16,14.44,-3.80,-2.46,4.37,-0.83
-10.70,-1.66,-29.50,-4.37,4.37,0.20
4.70,15.56,17.69,4.37,-4.37,4.37
-15.41,-6.68,0.12,-4.37,4.37,-4.37
14.92,13.50,-0.87,4.37,-1.62,0.67
-2.57,-5.94,1.30,-0.85,-1.76,-1.79
-6.10,-1.69,1.04,1.31,0.37,-0.82
4.92,-3.02,0.08,0.03,3.98,-1.32
-0.19,0.70,-4.92,-2.88,-1.47,-1.74
