accx,accy,accz,gyrox,gyroy,gyroz
-10.13,-5.75,-1.17,-0.39,0.03,-0.25
-5.64,-6.42,-1.49,0.23,0.47,0.07
-5.01,-4.75,-1.72,-0.28,-0.42,-0.03
-5.94,-3.49,-0.62,0.05,-0.04,0.20
-2.84,-1.86,-1.09,0.63,0.38,-0.31
-3.19,-9.41,-0.28,0.49,-1.69,-0.19
-15.74,-5.88,-0.46,-0.15,-2.08,-0.21
-8.99,-9.41,0.62,1.10,2.05,-0.83
-10.87,-14.18,2.60,-0.19,-1.94,-0.13
-21.52,-8.32,-1.68,-0.91,1.58,0.43
-10.83,-20.14,1.27,0.52,0.99,1.25
-6.26,-5.67,-1.23,-2.57,0.76,-1.00
4.06,0.71,1.38,-1.52,-0.22,-0.67
0.80,6.16,-2.55,-0.63,-1.02,-1.23
0.12,2.95,0.36,0.13,-1.35,-1.26
-3.17,0.55,-0.47,0.93,0.90,-0.53
2.15,1.50,-0.30,0.56,1.28,-0.47
-1.94,-6.77,-1.35,2.54,-0.33,1.38
-8.80,-13.71,15.46,3.90,-4.37,-0.60
-45.08,-29.96,9.62,-4.37,3.94,-1.26
-12.68,-9.68,5.18,4.37,0.26,4.37
-7.07,-22.05,5.26,-2.36,3.50,-1.56
4.42,7.24,1.65,-3.76,-0.76,-0.67
3.09,9.26,-3.51,-0.83,1.88,-1.68
1.10,-6.25,0.34,1.34,-2.24,-0.14
-7.00,-0.10,-1.91,-1.40,-0.27,-0.77
2.25,2.81,-0.69,1.79,0.86,-0.41
1.42,-0.57,0.42,0.63,-0.28,-0.38
-8.25,-8.31,-3.86,2.41,0.26,1.20
-17.05,-27.79,14.35,4.37,-4.00,1.34
-24.41,-27.08,12.61,-3.23,-0.84,-1.04
-24.41,-15.49,6.99,-0.20,3.47,0.87
9.45,-12.35,-1.06,-2.49,4.37,-3.42
8.26,6.73,2.83,-3.46,-4.37,1.00
-7.45,5.35,-0.91,-0.57,-1.09,-0.30
-0.18,-3.44,1.41,0.20,-0.70,0.00
-3.21,2.67,-0.34,-1.15,0.28,-0.42
2.23,1.69,-0.99,0.02,1.55,-0.27
0.94,1.47,-0.41,0.59,0.64,-1.65
-8.67,-14.55,-3.24,3.68,-2.83,2.77
-32.69,-41.92,11.04,2.16,-3.55,3.49
-22.83,-11.36,9.29,0.12,-1.05,2.28
-3.49,-21.93,3.20,-0.69,4.37,-1.98
1.17,-1.29,3.00,-4.37,-2.57,2.30
7.81,17.84,-3.86,-1.38,3.60,-2.09
5.94,-7.90,2.52,2.93,-4.37,0.37
-12.94,-3.76,0.11,-2.70,-1.12,-0.67
3.58,6.65,-1.42,1.34,2.07,0.01
0.06,-7.22,-0.68,-0.09,-0.50,0.36
-4.94,3.97,-9.01,-1.11,0.55,0.07
-6.19,-24.49,15.61,4.37,-4.37,3.19
-40.21,-40.04,17.58,-0.54,-0.30,3.98
-9.32,0.93,3.63,-1.10,3.52,0.30
-7.17,-24.07,3.78,-0.24,4.37,-0.86
11.01,1.30,3.90,-4.37,-1.36,-0.13
-3.06,14.08,-5.60,-1.59,-1.13,-0.94
1.88,-4.65,0.34,2.19,-0.51,-0.91
