accx,accy,accz,gyrox,gyroy,gyroz
-4.22,-8.14,-1.60,0.69,-0.81,-0.47
-12.84,-7.53,-0.44,-0.95,0.02,-0.19
-3.96,-3.05,-1.66,1.03,1.26,0.18
-6.09,-9.46,-0.96,-0.21,0.08,-0.19
-3.29,-1.14,-3.01,-0.09,0.05,-0.54
-5.22,-6.11,-0.43,0.63,-0.61,-0.67
-3.54,-3.49,-1.23,0.12,0.23,-1.13
-0.65,-10.83,-0.16,1.58,-0.98,-0.08
-21.39,-14.35,0.19,-0.99,-2.15,1.34
-15.32,-17.24,-0.06,2.39,1.97,1.46
-15.39,-25.70,2.92,-2.53,-1.67,0.87
-21.96,-8.63,2.83,-2.09,0.57,0.81
7.58,-1.39,2.16,-1.87,3.47,-2.69
3.37,8.82,-3.70,-2.90,0.02,-0.28
2.48,2.17,-0.23,3.91,-0.22,0.31
-1.00,-8.49,1.23,-3.07,-1.78,-1.34
-9.43,7.13,-3.42,-0.44,-0.69,-0.60
5.23,1.12,1.36,3.08,3.28,0.31
0.13,-7.76,-3.45,1.16,-0.93,1.40
-11.54,-17.79,0.78,4.37,-2.32,2.41
-35.82,-39.48,12.95,-1.59,-4.37,-0.61
-19.55,-2.33,0.77,-1.81,4.33,-0.25
-10.92,-28.23,6.00,2.00,3.03,0.86
12.45,1.10,4.72,-4.37,1.31,-1.72
-3.58,4.62,-2.69,-2.87,-0.59,-0.88
3.73,5.65,-2.27,1.69,-0.11,-0.12
-4.03,-3.49,-0.58,0.66,-1.09,-1.35
-1.21,-0.90,-0.51,0.88,1.19,-0.63
0.32,-0.84,2.61,0.65,0.53,-0.88
-5.86,-9.07,4.94,1.55,0.97,0.85
-5.24,-15.21,4.47,1.97,0.39,-1.17
-28.38,-39.36,9.98,0.51,-2.56,1.60
-8.89,-16.16,3.06,-3.97,4.37,-1.01
10.05,-8.48,2.58,-2.76,-2.04,-0.29
-10.94,0.84,1.34,-4.37,-1.16,-1.54
6.43,15.89,-0.80,0.55,0.32,-0.21
0.84,-5.95,0.09,1.27,-0.02,-1.10
-6.85,-3.21,-1.69,-1.60,-0.56,-1.34
-2.38,5.00,-0.50,1.29,1.76,0.09
2.23,-0.95,0.99,2.42,2.66,-2.14
-4.28,-18.13,-0.03,4.37,-1.03,3.51
-9.56,-27.18,16.55,4.37,-2.42,3.03
-24.11,-39.68,10.63,-4.00,2.08,-3.11
-1.36,-23.69,1.02,-3.25,0.28,1.51
-2.02,-1.00,2.81,-4.37,-1.45,-0.33
-1.43,15.67,-3.15,-2.32,-0.39,-0.53
4.05,3.78,-1.34,2.74,-0.48,0.68
2.39,4.64,0.20,1.92,-0.99,-0.56
-3.29,-6.76,1.19,2.56,-0.95,0.74
-1.38,-4.64,1.42,-0.36,-1.05,-1.29
-5.66,-2.75,1.62,0.57,0.03,-0.07
-2.75,-5.13,0.17,1.93,1.24,-0.77
-12.27,-32.32,14.75,4.37,-0.61,1.70
-22.62,-39.77,24.94,-1.17,-2.26,0.24
2.38,-17.94,9.83,-4.37,4.37,-1.24
-2.25,7.18,-0.65,-4.37,-4.37,1.77
6.34,13.63,-1.33,-1.76,2.25,-0.52
