accx,accy,accz,gyrox,gyroy,gyroz
-6.01,-5.06,-4.32,-0.16,0.05,0.18
-6.02,-7.38,-4.64,0.45,0.59,0.28
-5.12,-6.90,-4.95,0.58,-0.68,0.09
-9.00,-9.11,-3.32,0.35,0.05,-0.22
-5.79,-4.20,-4.36,0.24,0.83,-0.14
-4.12,-7.99,-4.00,0.79,1.22,0.05
-3.01,-8.64,-4.05,0.25,-0.14,0.24
-6.71,-6.35,-4.28,-0.15,-0.40,-0.18
-6.85,-6.27,-3.78,0.35,0.06,-0.26
-4.83,-8.48,-4.81,-0.10,0.11,-0.35
-6.96,-8.42,-3.47,0.50,-0.93,-0.03
-9.52,-12.13,-3.87,-0.70,-0.23,-0.79
-7.37,-9.95,-2.40,1.05,0.52,-0.56
-0.67,-12.12,-0.42,0.05,0.88,-0.37
-1.38,-11.25,-0.50,-0.25,-0.71,0.78
-3.15,-8.44,-3.06,-1.02,-0.53,0.07
-4.55,-8.09,-2.78,-0.37,-1.14,0.06
-3.94,-5.99,-2.94,-0.30,-0.24,-0.47
-1.02,-6.24,-2.63,-0.02,-0.57,-0.17
-5.61,-7.97,-2.59,-0.41,-1.10,0.19
-6.17,-6.49,-3.55,0.24,-0.26,0.25
-4.85,-11.03,-3.30,0.21,-0.01,0.18
-5.34,-11.88,-2.40,-0.20,-0.62,0.20
-12.86,-10.52,-2.20,0.09,0.12,-0.02
-8.75,-16.38,2.33,0.36,1.37,0.85
-3.99,1.31,-3.96,-0.40,0.78,0.20
-3.75,-11.68,-1.17,0.94,0.53,0.36
-7.42,-4.56,-2.56,-0.75,-0.77,-0.10
-4.13,-2.46,-2.30,0.80,1.19,-0.33
-1.17,-7.87,-0.86,0.74,0.48,0.16
-2.81,-5.28,-3.17,-0.09,-0.15,0.23
-7.94,-8.32,-2.38,0.46,-0.62,0.41
-9.62,-10.99,-1.82,-0.31,-0.64,-0.24
-9.40,-6.12,-3.64,-0.11,0.72,-0.83
-5.59,-12.87,-2.09,0.76,0.44,-0.88
-3.25,-12.61,1.00,0.49,-0.18,-0.39
-2.31,-7.36,-0.03,-0.81,0.51,-0.81
-2.19,-13.14,-0.70,0.38,0.03,0.25
-2.46,-12.38,-1.28,-0.98,-1.28,-0.03
-5.38,-6.43,-3.06,-1.06,-0.26,-0.42
-0.83,-6.62,-2.68,0.18,0.29,-0.35
-1.70,-7.25,-1.40,-0.50,-0.34,-0.23
-2.88,-4.24,-2.25,-0.34,-0.11,0.10
-0.70,-6.41,-3.97,0.50,-0.31,0.02
-3.52,-8.53,-1.62,0.58,-2.33,0.88
-9.05,-10.73,-2.26,0.18,-0.79,0.07
-10.70,-12.74,-1.33,0.56,0.15,0.10
-3.41,-14.11,0.14,1.12,0.93,0.51
-9.71,-11.29,3.05,-1.54,0.10,0.38
-4.93,-3.10,0.28,0.56,1.36,-0.06
-2.34,-10.14,0.25,-0.28,0.60,0.08
-7.40,-4.53,-1.85,-0.50,0.28,0.37
-3.47,-4.05,-1.57,0.67,1.35,-0.10
-0.29,-4.41,-1.82,0.39,0.35,-0.25
-3.33,-7.34,-1.92,0.48,-0.37,0.24
-5.32,-7.27,-1.53,0.34,-0.36,0.09
-6.26,-7.75,-2.56,-0.07,0.30,-0.68
