accx,accy,accz,gyrox,gyroy,gyroz
-6.29,-6.84,-3.48,0.15,0.12,-0.22
-6.11,-7.59,-3.25,-0.50,-0.61,-0.26
-6.77,-7.02,-3.20,-0.10,-0.50,-0.25
-4.88,-8.06,-1.61,-0.36,-0.82,-0.41
-4.16,-5.27,-3.34,0.31,-1.17,-0.57
-7.03,-7.61,-2.94,-0.45,-0.39,-0.72
-8.47,-8.33,-3.44,-0.20,-0.11,-0.47
-4.60,-6.23,-2.71,0.51,0.09,-0.18
-5.06,-7.41,-2.67,0.29,-0.08,-0.24
-6.06,-8.42,-2.86,0.19,-0.08,-0.25
-7.01,-7.71,-3.14,0.36,0.16,0.01
-5.08,-9.24,-2.63,0.48,0.21,0.11
-7.91,-9.69,-3.55,0.11,0.02,0.21
-7.69,-11.70,-2.97,0.56,0.52,0.44
-5.50,-11.99,-0.64,0.31,0.38,0.39
-6.12,-5.22,0.08,-1.28,0.87,-0.17
-5.46,-7.94,0.14,0.75,0.85,0.39
-5.66,-7.66,-0.37,-0.28,-0.17,0.33
-5.91,-5.51,-1.27,0.39,0.83,0.13
-5.01,-7.23,-1.84,0.04,0.11,0.11
-6.30,-6.58,-2.55,0.38,0.52,0.26
-4.04,-6.60,-2.24,0.12,0.14,0.08
-5.57,-5.93,-2.88,0.19,0.31,-0.05
-4.81,-7.57,-2.95,-0.10,0.01,-0.10
-7.24,-6.47,-3.05,-0.14,0.02,-0.05
-6.61,-8.88,-2.62,-0.02,0.05,-0.09
-10.03,-8.72,-3.06,-0.58,-0.17,0.02
-10.15,-9.33,-3.58,-0.27,0.21,0.00
-7.38,-9.68,-2.00,-0.09,0.94,-0.24
-0.26,-3.72,-1.62,-0.95,0.39,-0.65
-5.20,-9.69,-2.52,0.30,-0.22,-0.50
-4.17,-10.24,-2.65,-0.66,-1.38,-0.03
-5.77,-3.49,-3.13,-0.49,-0.48,-0.24
-3.43,-5.58,-2.18,-0.19,-0.21,-0.35
-5.13,-6.10,-2.93,0.05,-0.27,-0.22
-4.54,-7.53,-3.02,0.08,-0.40,-0.06
-6.62,-7.17,-3.39,-0.05,-0.19,-0.28
-5.58,-10.05,-3.00,0.34,-0.17,0.01
-7.57,-11.15,-3.67,-0.20,0.03,0.03
-10.49,-12.93,-4.01,-0.31,0.27,0.05
-4.93,-7.35,-0.74,0.38,1.26,0.40
-3.32,-5.44,-0.73,-1.02,0.83,-0.19
-5.98,-4.77,-2.40,0.73,1.10,0.20
-2.33,-7.54,-2.22,0.38,0.16,0.31
-5.37,-3.10,-3.14,0.25,0.43,0.05
-2.96,-7.04,-2.73,0.60,0.36,0.03
-5.54,-8.18,-3.61,0.37,-0.29,0.06
-5.67,-8.73,-3.68,0.08,-0.15,-0.02
-7.06,-6.86,-3.59,-0.08,-0.17,0.02
-6.35,-8.36,-3.07,0.19,0.24,0.00
-8.12,-9.79,-3.36,0.03,-0.06,0.04
-10.55,-10.58,-4.17,-0.28,-0.17,0.01
-6.79,-13.02,-2.25,-0.21,0.94,0.10
-1.32,-3.31,-1.84,-0.45,-0.11,-0.12
-2.89,-8.25,-1.83,0.05,-0.01,-0.68
-4.35,-10.03,-2.31,-0.44,-1.01,0.08
-4.60,-6.58,-2.92,-0.39,-0.50,-0.07
