accx,accy,accz,gyrox,gyroy,gyroz
-10.12,-4.26,-0.90,-0.17,1.07,-0.38
-4.81,-4.79,-1.74,0.24,1.29,-0.29
-7.17,-5.37,-2.11,-0.40,0.04,-0.20
-8.96,-5.44,-3.11,0.16,0.44,-0.07
-6.45,-5.89,-3.08,0.24,0.00,-0.03
-7.20,-4.68,-2.29,0.64,0.14,-0.05
-3.58,-7.26,-1.56,0.76,-0.15,-0.01
-11.29,-5.66,-2.16,-0.42,-1.43,-0.12
-7.75,-7.14,-1.09,0.37,0.18,-0.30
-9.44,-5.84,-1.04,-0.92,-0.49,0.23
-8.93,-4.55,0.06,1.08,-0.09,1.20
-0.60,-2.92,1.23,0.53,-0.01,0.70
-9.99,-3.46,0.66,-0.01,-2.22,1.47
-11.50,-1.42,1.90,0.86,-0.72,1.32
-8.38,-1.69,2.25,1.03,-0.41,1.20
-10.37,-2.78,1.51,0.30,-0.31,1.06
-7.45,1.04,1.85,0.85,0.37,1.32
-10.19,0.61,1.76,0.01,0.39,0.68
-8.34,-0.71,2.24,0.44,0.04,0.22
-10.27,-0.30,2.24,0.83,-0.42,0.50
-8.12,1.13,1.34,-0.58,1.20,-0.63
-8.20,-1.65,1.13,-0.42,0.62,0.02
-9.98,0.67,0.61,-0.69,0.71,-0.17
-9.11,0.06,0.56,-0.75,1.04,-0.65
-10.09,-1.14,0.11,-0.65,1.32,-0.62
-8.34,-0.48,-0.87,-1.07,1.37,-0.86
-6.15,-1.24,-1.98,-0.51,1.10,-1.24
-8.44,-6.77,-2.41,-0.40,-0.30,-0.45
-8.15,-1.26,-3.31,-1.04,0.18,-1.13
-9.18,-5.60,-3.25,-0.39,0.21,-1.06
-6.28,-6.11,-2.82,-1.13,0.20,-0.85
-9.60,-4.28,-3.19,-0.78,-0.73,-0.21
-8.94,-5.71,-2.85,-0.73,0.42,-0.20
-7.32,-5.67,-3.03,-1.65,-0.54,-0.03
-12.55,-0.79,-4.60,-0.67,0.40,-0.38
-3.93,-6.50,-3.55,-0.58,0.59,-0.13
-9.75,-2.20,-4.28,-1.24,-0.57,-0.10
-8.12,-5.21,-3.81,-0.43,0.47,0.04
-8.88,-1.58,-4.60,-0.83,0.34,-0.13
-6.87,-2.74,-4.45,0.12,0.85,-0.01
-6.88,-3.99,-3.53,0.35,0.80,-0.60
-4.37,-6.26,-4.38,-0.13,-0.25,0.48
-11.23,-3.72,-6.15,-0.58,0.83,-0.30
-6.31,-5.63,-5.34,0.04,-0.02,0.76
-9.91,-1.78,-5.10,-0.55,1.03,0.45
-4.71,-5.83,-5.63,-0.39,0.58,0.74
-10.48,-1.70,-6.19,-0.84,0.88,0.27
-2.39,-5.07,-6.26,-0.67,1.63,-0.31
-6.29,-1.44,-7.85,-1.72,-0.11,0.17
-7.69,-1.62,-8.05,-0.18,1.02,0.12
-4.20,-3.69,-7.02,-1.73,0.15,0.01
-8.39,2.72,-8.32,-1.35,0.60,-0.06
-2.19,-0.68,-7.95,-0.33,1.11,0.32
-6.44,0.79,-8.32,-1.56,-0.61,0.49
-5.68,0.24,-8.51,-0.37,1.22,0.56
-4.81,-0.64,-7.86,-1.89,-0.07,0.83
-5.63,5.47,-9.72,-1.37,1.27,0.59
-3.22,1.66,-8.90,-1.01,0.70,0.65
-4.91,6.17,-9.79,-0.77,0.34,0.97
-6.06,5.13,-10.13,0.03,0.96,0.59
0.21,4.94,-9.61,0.58,1.36,0.47
-3.23,2.44,-11.15,-0.56,0.81,0.17
-2.99,2.04,-9.44,0.17,0.53,1.05
2.02,6.62,-9.30,-0.58,1.34,-0.37
-0.90,2.71,-10.35,0.00,0.27,0.36
0.50,2.63,-10.04,0.25,0.24,0.49
-2.17,5.41,-9.79,0.02,0.15,0.24
-0.20,3.24,-10.18,0.44,1.23,-0.16
1.65,4.50,-9.60,-0.56,0.21,0.04
-2.72,4.74,-9.87,0.03,0.13,0.21
0.66,3.00,-9.37,0.03,0.32,0.01
-0.32,5.68,-10.08,-0.26,0.05,0.09
1.69,3.98,-9.75,0.28,0.46,0.15
0.41,3.50,-10.34,-0.16,0.02,-0.08
0.91,3.21,-9.70,0.03,0.60,-0.13
2.37,2.69,-9.56,-0.17,0.15,-0.08
0.38,4.62,-9.94,-0.38,0.07,-0.65
1.90,4.66,-9.65,0.02,0.11,-0.13
0.52,3.88,-9.58,-0.19,-0.32,0.04
-0.37,4.26,-9.77,-0.16,-0.36,0.10
-0.45,4.61,-9.83,0.03,-0.26,0.23
0.74,3.95,-9.80,0.20,0.12,0.14
1.21,3.61,-9.70,0.13,-0.09,0.44
0.56,4.56,-10.04,-0.08,0.17,-0.04
1.43,3.38,-9.91,0.02,0.24,-0.15
0.56,3.37,-9.84,-0.29,-0.44,0.00
-0.36,4.74,-10.02,0.13,0.18,0.01
1.34,3.14,-9.55,-0.15,-0.14,-0.01
-0.44,4.74,-9.90,-0.06,-0.04,0.03
0.87,3.70,-9.58,0.08,0.17,0.02
0.39,3.97,-9.86,-0.09,-0.03,0.03
0.76,3.68,-9.85,0.04,0.13,0.00
0.64,3.92,-9.82,-0.09,-0.01,-0.02
0.77,3.99,-9.81,-0.02,0.07,-0.02
0.55,3.83,-9.86,-0.13,-0.09,-0.01
