accx,accy,accz,gyrox,gyroy,gyroz
-5.56,-6.66,-2.69,-0.38,-0.43,0.20
-5.80,-6.71,-2.72,-0.16,-0.50,0.27
-6.72,-6.20,-1.72,-0.22,-0.46,0.31
-6.33,-3.89,-2.16,-0.41,0.28,0.07
-2.09,-4.46,-2.38,0.26,0.54,0.04
-2.38,-4.40,-1.19,-0.45,-1.21,-0.12
-3.17,-3.25,-0.93,-0.08,-1.27,-0.67
-0.40,-7.95,-1.09,0.71,-1.20,-0.31
-8.13,-11.99,2.99,-1.45,-3.71,0.39
-12.80,-5.10,2.59,-1.57,-2.81,-0.52
-3.13,-8.23,3.65,0.20,0.32,0.18
-8.49,-13.15,3.30,-2.52,-2.05,0.43
-9.57,-8.72,5.19,-1.71,-2.55,1.57
-9.14,-8.28,3.67,-1.42,-0.37,0.65
-6.65,-9.79,0.70,-1.73,0.06,-0.93
-15.43,-20.26,-5.85,-2.19,-3.50,3.21
-9.03,-4.70,3.88,-0.67,1.26,1.11
-17.05,-21.90,3.96,-4.37,4.07,4.21
-8.60,1.28,-2.61,3.99,-0.92,4.37
5.54,2.38,-7.50,-4.02,1.85,-2.49
-17.74,-8.23,0.48,-4.37,-2.70,-1.24
-14.09,5.78,-4.13,-1.46,0.87,-0.66
-2.94,-1.34,-4.80,-1.55,4.37,-0.75
-5.33,-6.72,-5.78,-1.16,-1.52,1.81
-13.95,6.22,-1.10,-1.70,-1.78,0.09
-4.82,10.26,0.36,4.26,4.37,-0.99
1.32,-18.63,-11.42,3.50,3.83,0.54
-19.84,-13.00,-0.11,-4.37,4.34,0.76
14.00,30.95,-19.01,4.37,3.00,3.97
3.83,-23.04,-7.56,-4.37,4.37,-4.37
2.37,6.61,-15.19,-0.44,-3.10,0.48
0.61,4.92,-7.15,-2.64,2.65,-1.73
2.86,7.62,-15.56,-0.93,1.14,-0.54
10.57,12.47,-7.83,2.47,1.94,0.75
0.95,-3.23,-13.12,-0.74,1.34,-0.65
1.47,-0.23,-8.25,0.69,-1.62,0.35
-1.56,-0.93,-9.61,-1.23,0.56,-0.91
5.49,-2.14,-11.77,1.98,1.50,1.11
8.50,-4.30,-9.68,-0.07,-2.01,0.38
-0.60,2.18,-7.81,-3.63,-2.65,-0.32
1.00,10.86,-10.93,-0.29,0.03,0.43
-3.66,3.99,-10.18,1.61,2.55,0.53
2.10,0.23,-7.98,1.71,3.29,0.10
8.69,-3.57,-11.33,1.72,2.77,0.08
15.31,-3.66,-7.88,0.19,-0.00,-0.18
3.28,0.36,-9.72,-1.39,-2.31,-0.61
1.42,1.55,-11.99,0.00,-1.25,-0.64
3.69,-2.10,-8.83,-0.28,-0.55,-0.26
1.93,-0.35,-9.36,-0.64,-0.51,0.34
3.03,2.56,-11.44,-0.20,0.22,-0.05
2.12,3.41,-9.27,0.41,2.41,-0.61
8.60,-1.41,-8.73,1.59,3.03,-0.06
10.60,-5.60,-7.65,0.20,0.08,0.27
5.85,-0.01,-8.57,-1.06,-1.39,0.04
1.89,0.77,-10.16,-0.09,-0.16,-0.10
6.31,-1.96,-9.06,0.11,0.23,-0.01
4.32,0.10,-9.86,-0.19,-0.16,0.12
5.86,-0.65,-9.40,0.10,0.23,0.08
6.41,0.49,-8.71,-0.46,-0.33,-0.50
4.44,-1.43,-9.29,-0.50,-0.57,0.08
3.97,-0.10,-9.94,0.18,-0.06,0.17
5.66,-0.94,-9.77,0.01,0.13,-0.04
4.58,-0.45,-9.60,-0.15,-0.11,-0.08
4.79,-0.77,-9.63,0.06,0.08,0.13
5.05,-0.58,-9.52,-0.13,0.01,-0.03
4.68,-0.73,-9.54,-0.04,0.17,0.05
5.25,-0.95,-9.54,-0.03,0.11,0.05
5.30,-0.51,-9.66,-0.05,0.08,-0.07
4.76,-0.92,-9.84,-0.05,-0.10,-0.11
5.23,-0.45,-10.01,0.06,-0.13,-0.12
4.46,-0.29,-9.60,-0.14,-0.15,-0.06
4.78,-0.45,-9.69,0.06,0.14,-0.02
5.04,-1.03,-9.24,-0.11,-0.05,-0.00
4.92,-0.25,-9.51,-0.15,-0.09,0.04
4.92,-0.40,-10.18,-0.16,0.11,0.01
4.91,-0.51,-9.51,-0.01,0.17,-0.07
5.26,-0.48,-9.44,-0.08,0.01,-0.04
5.17,-0.46,-9.40,-0.04,-0.01,-0.03
4.99,-0.37,-9.65,-0.05,-0.01,0.01
4.83,-0.47,-9.84,-0.05,-0.02,-0.06
5.26,-0.86,-9.67,-0.07,-0.13,-0.06
4.16,-0.96,-9.51,-0.19,-0.29,0.08
3.92,-0.16,-9.79,0.10,0.32,0.10
5.79,-0.86,-9.77,0.00,0.19,0.07
4.77,-0.04,-9.64,-0.08,0.01,-0.01
5.23,-0.56,-9.58,0.03,0.19,-0.03
5.34,-0.93,-9.34,-0.11,-0.02,-0.01
4.67,-0.73,-9.45,-0.12,-0.01,0.04
4.40,-0.08,-9.93,0.02,0.16,0.02
5.40,-0.62,-9.75,0.11,0.33,-0.05
4.58,-2.47,-9.65,0.08,-0.01,0.14
5.54,-0.87,-9.46,0.04,-0.13,0.20
5.45,-0.69,-9.08,-0.39,-0.22,0.07
3.28,0.79,-11.08,-0.13,-0.91,0.29
5.99,1.68,-9.43,0.18,0.17,0.98
