accx,accy,accz,gyrox,gyroy,gyroz
-5.04,-8.61,-0.65,-0.46,-0.65,-0.01
-4.45,-8.51,0.14,0.02,-0.35,-0.08
-2.40,-8.41,-0.45,-0.53,-0.28,-0.07
-2.06,-7.05,-1.39,-0.27,-0.46,0.45
-3.94,-7.32,-1.81,-0.28,-0.34,0.50
-4.47,-8.04,-0.38,0.04,-0.66,0.62
-3.81,-5.91,-1.47,-0.18,-0.44,-0.04
-1.87,-7.80,-0.07,0.60,-0.88,0.42
-2.85,-6.85,0.20,0.05,-1.17,0.55
-5.46,-7.13,0.89,0.12,-1.03,0.85
-4.03,-5.60,0.68,0.03,-0.27,0.52
-5.01,-8.13,0.97,-0.13,-0.32,0.88
-6.47,-7.04,0.69,-0.67,-0.54,1.45
-10.47,-5.17,0.39,-0.85,-0.08,1.29
-9.67,-4.45,0.48,0.19,0.86,0.57
-7.71,-8.83,2.92,0.13,0.34,0.54
-11.80,-4.56,1.51,-0.58,0.33,0.36
-9.21,-6.13,3.41,0.98,1.49,-0.20
-9.28,-11.13,6.18,-0.55,0.64,-0.34
-8.76,-5.54,1.87,-2.42,1.12,-0.41
-9.02,-4.17,-1.28,-1.09,0.91,-0.18
-9.44,-7.75,-1.36,-0.70,0.35,0.45
-10.70,-3.93,-2.63,-1.28,0.26,-0.24
-11.29,-6.05,-2.94,-0.58,0.55,0.04
-9.88,-2.64,-4.78,-1.08,1.12,-1.19
-9.30,-7.52,-3.51,0.36,0.63,-0.37
-5.35,-6.45,-2.32,-0.09,0.85,0.03
-5.68,-5.29,-3.94,-1.32,0.25,-0.16
-6.65,-4.12,-5.19,-0.45,0.10,0.58
-5.17,-4.78,-2.54,0.40,-0.03,0.68
-6.35,-5.11,-3.62,-0.67,0.68,0.27
-5.63,-6.95,-2.80,-0.22,-0.49,0.34
-6.84,-4.07,-3.45,-0.50,-1.08,0.48
-8.29,-7.09,-4.68,-0.82,-1.06,0.85
-7.47,-1.07,-5.60,-1.92,-1.79,0.66
-14.29,-4.62,-3.05,0.11,-3.37,2.65
-17.08,-0.51,-2.83,-2.89,0.25,-0.80
-8.00,-1.32,0.36,0.37,0.72,-1.38
-11.63,-11.40,3.12,-1.94,0.59,-0.17
-8.63,4.81,-1.79,-2.77,1.70,-0.75
-8.31,1.68,-3.22,1.01,2.30,-1.09
-2.77,-2.26,-3.76,0.64,2.03,-1.83
-2.00,-2.25,-6.50,-0.18,1.33,-1.77
0.85,-4.62,-5.35,0.40,0.09,-1.18
-1.69,-5.39,-8.83,-1.23,-0.91,-2.74
-5.92,-9.57,-6.47,-0.18,-2.76,-0.18
-8.60,0.79,-8.69,-2.83,0.05,-2.71
-12.89,-9.14,-9.24,1.01,-0.41,-1.03
-2.81,-3.63,-8.59,-0.63,0.54,-1.74
-6.52,-6.81,-6.91,-0.65,0.33,-0.87
-3.58,1.54,-11.82,-1.30,1.09,-2.19
-5.16,-15.62,-7.26,3.63,0.56,-0.80
6.25,-9.33,-4.39,1.42,-1.43,-0.51
-2.44,-9.31,-4.68,-0.74,-1.41,-1.52
-1.91,-9.67,-5.00,0.18,-0.78,-1.31
0.69,-10.05,-4.55,-0.57,-1.21,-1.20
-1.07,-8.09,-4.45,-0.10,-0.63,-1.38
1.15,-9.10,-5.56,-0.21,0.09,-1.82
1.26,-8.24,-5.52,-0.21,-0.68,-0.89
1.81,-9.28,-5.38,-0.29,-0.04,-1.36
-0.83,-18.29,1.22,-1.62,0.72,-3.04
10.21,-2.31,-6.82,-2.01,-2.11,-0.99
-4.40,-7.20,-7.12,-2.29,-0.73,-1.73
5.90,-5.55,-6.31,-0.29,-0.16,-0.32
5.73,-5.77,-8.46,-0.89,-0.47,-0.71
4.63,-8.57,-7.64,-1.41,-1.57,-0.98
1.65,-4.60,-7.95,-2.01,-1.80,-0.51
0.44,-1.62,-10.72,-1.84,-0.60,-0.72
0.68,-7.24,-9.21,-1.54,-0.77,0.01
-0.20,1.00,-8.44,-1.58,-0.35,-0.62
1.53,-0.00,-11.59,-1.02,0.84,-0.48
3.63,-0.42,-11.18,-1.82,-0.94,-0.46
-1.36,1.94,-15.18,-2.04,-0.12,-0.40
2.84,7.72,-10.44,0.89,0.61,1.44
3.06,-2.67,-10.78,-0.27,2.22,0.12
5.75,-0.97,-9.62,0.51,-1.61,0.58
1.99,7.03,-9.31,-1.72,0.23,-0.64
0.23,-3.42,-8.10,0.32,0.38,0.90
4.51,4.32,-9.38,-0.76,0.40,0.47
3.83,-0.42,-9.33,-1.21,0.51,-0.18
1.46,4.20,-9.62,-0.50,0.74,0.13
5.56,2.77,-9.07,-0.43,1.01,-0.12
2.27,5.97,-11.93,-0.04,0.99,-0.28
7.42,-0.31,-8.86,0.75,1.19,0.26
7.13,0.50,-8.85,-0.50,-0.36,-0.20
2.64,4.64,-10.08,-0.48,-0.04,-0.16
6.11,1.04,-8.90,0.33,0.66,-0.02
6.62,1.82,-8.30,-0.08,-0.43,0.18
4.84,3.26,-9.29,-0.51,-0.73,0.04
2.54,4.00,-10.01,-0.36,-0.37,-0.31
4.43,1.99,-9.09,0.20,0.41,0.04
5.17,1.90,-9.28,-0.10,-0.21,0.25
3.01,3.53,-9.50,-0.03,0.08,0.19
6.15,1.44,-8.72,0.16,0.43,0.40
4.29,2.68,-9.17,-0.30,-0.19,0.04
