accx,accy,accz,gyrox,gyroy,gyroz
-4.21,-8.58,-3.17,-0.03,-0.14,0.06
-4.67,-8.11,-3.28,0.09,0.07,-0.03
-4.15,-8.48,-3.32,0.05,-0.05,-0.03
-4.23,-8.15,-3.15,0.10,-0.17,-0.10
-4.87,-8.02,-3.00,0.41,-0.09,-0.16
-3.63,-9.42,-2.47,0.45,-0.20,-0.09
-4.44,-8.00,-2.50,0.28,-0.52,-0.13
-4.10,-8.09,-2.41,0.50,-0.36,-0.22
-3.25,-7.47,-1.93,0.56,-0.62,-0.33
-5.06,-7.28,-1.79,1.33,-0.27,-0.38
-1.41,-9.24,-0.68,0.82,-0.63,-0.40
-3.34,-7.13,-0.17,0.57,-1.35,-0.55
-2.05,-5.28,0.60,1.11,-1.11,-0.71
-3.15,-8.22,1.93,2.35,-1.19,-0.11
1.02,-6.38,2.99,1.30,-1.27,-0.30
-3.88,-7.31,3.01,1.45,-1.01,-0.65
-0.79,-7.81,3.63,1.49,-0.87,-0.42
1.01,-7.27,4.91,0.78,-0.94,-0.70
-2.92,-6.38,5.42,0.36,-1.57,-0.37
0.15,-6.96,6.54,2.04,-0.06,-0.47
0.02,-10.42,6.54,-0.43,-0.42,-0.46
-1.29,-7.56,5.86,-0.21,-0.50,-0.41
-0.15,-6.70,6.62,-0.07,-0.27,-0.28
1.30,-7.15,7.57,0.18,0.02,-0.46
0.27,-8.79,7.07,-0.41,-0.31,-0.31
2.07,-6.29,7.51,0.29,-0.03,-0.24
-0.93,-7.59,8.07,-0.01,0.32,-0.69
1.64,-8.16,7.51,0.77,0.34,-0.78
0.58,-11.95,10.69,-0.94,-0.64,0.36
2.31,-1.98,5.46,-1.20,0.18,-0.09
-0.53,-15.70,7.23,-1.05,-0.18,-0.08
-0.33,-7.03,7.72,-0.97,-1.33,0.42
1.13,-6.87,10.49,-0.04,-0.10,0.94
6.22,-7.76,6.62,-1.89,1.30,-1.25
-0.07,-10.40,3.85,-1.04,-1.08,0.82
2.26,-8.51,5.20,0.29,-1.23,1.30
2.90,-6.65,3.62,-0.99,0.50,0.67
1.68,-7.60,3.21,-1.37,-0.51,0.69
0.83,-11.20,5.88,-0.97,-0.18,0.82
-9.27,-13.26,-5.81,0.78,-0.97,0.29
10.43,-6.30,4.12,-3.74,0.04,-1.65
-6.39,-10.08,0.02,-0.87,-0.72,1.61
-0.22,-6.17,-0.68,-0.94,0.27,-0.04
-8.41,-12.33,5.77,2.71,-0.07,0.20
11.70,-2.67,2.56,-0.68,2.49,-0.50
1.98,-8.90,-0.26,-0.69,0.30,-0.49
2.11,-3.48,-2.95,-1.03,-0.05,-1.44
0.68,-11.13,-0.88,0.39,-0.11,-1.58
5.72,-9.96,-1.79,-0.46,-0.78,-1.37
2.56,-5.18,-3.62,-1.35,-0.11,-2.37
2.46,-7.70,-1.86,-0.54,-0.37,-2.21
6.26,-7.94,0.57,-0.98,-0.23,-2.29
1.28,-4.87,-3.95,-0.46,0.22,-1.80
13.87,-13.31,-1.69,-1.25,1.95,-2.03
2.02,-9.68,-4.94,-0.52,-1.63,-0.65
15.95,1.51,-2.38,-0.78,-2.29,-0.99
9.13,-5.41,-4.05,-2.06,-1.08,-2.09
36.01,13.59,-2.90,4.37,-1.31,-0.06
-22.40,-38.09,-6.83,-4.37,4.37,-3.52
22.43,28.35,-0.82,-2.52,-4.37,2.49
-27.00,-18.49,-14.42,3.41,-1.50,1.43
23.90,2.20,-3.33,1.79,2.89,-0.31
8.57,-7.85,-7.35,-3.35,-3.17,-0.24
3.69,6.49,-8.47,-2.63,-1.68,0.07
0.29,3.89,-9.88,-2.03,0.02,0.08
2.36,-4.83,-8.09,-0.11,0.74,0.49
4.22,-0.30,-9.04,-0.39,-0.65,0.94
4.29,2.96,-10.35,-0.22,0.03,0.13
5.39,1.27,-9.73,-0.10,0.17,-0.05
4.35,-0.11,-8.02,0.34,0.64,-0.07
8.71,-0.26,-9.44,0.23,0.48,-0.14
5.97,0.20,-9.73,-0.44,-0.62,-0.15
4.50,0.28,-9.77,-0.26,-0.16,-0.35
4.43,-1.29,-9.33,-0.20,-0.06,-0.10
4.72,0.57,-9.64,-0.02,-0.17,-0.10
4.54,-0.75,-9.44,0.01,0.09,-0.13
4.29,0.25,-10.17,-0.21,-0.05,-0.05
5.06,1.69,-9.37,0.11,0.50,-0.21
6.11,0.07,-9.42,-0.35,-0.03,-0.09
3.83,0.77,-9.73,-0.22,-0.25,0.06
4.75,1.32,-9.79,0.07,0.15,0.11
4.44,1.09,-9.73,0.09,0.24,0.09
5.39,0.37,-9.59,0.28,0.43,0.07
5.62,-0.38,-9.48,-0.06,0.07,0.13
5.57,0.94,-9.48,0.09,0.26,0.29
6.06,-0.78,-9.26,-0.10,-0.20,-0.17
4.87,1.26,-9.63,-0.12,-0.21,-0.03
4.64,0.44,-9.42,-0.05,0.09,-0.09
5.46,-0.24,-9.38,-0.16,0.06,-0.08
4.31,0.58,-9.65,-0.14,-0.12,0.03
5.24,0.11,-9.54,0.10,0.27,-0.03
5.40,-0.19,-9.48,-0.17,-0.23,-0.01
4.31,0.95,-9.65,0.02,0.04,0.01
5.53,-0.03,-9.44,-0.02,0.10,-0.05
4.68,0.63,-9.51,-0.12,-0.09,-0.00
