accx,accy,accz,gyrox,gyroy,gyroz
-5.99,-7.09,-3.56,0.12,0.45,0.02
-3.64,-7.89,-3.83,0.10,0.22,-0.02
-5.22,-7.47,-3.53,-0.05,-0.32,0.02
-4.70,-5.14,-2.80,-0.07,0.22,-0.17
-3.58,-4.71,-3.39,0.11,0.91,-0.40
1.72,-7.03,-3.13,0.23,-0.22,0.02
-4.79,-6.53,-3.20,-0.08,-2.24,-0.02
-5.49,-7.14,-1.10,0.31,-1.02,-0.39
-3.02,-6.72,-1.42,0.09,-0.93,-0.31
-4.89,-12.49,0.17,-0.79,-1.72,0.36
-7.67,-6.84,-0.91,0.26,-2.33,0.57
-8.19,-10.47,0.53,-0.73,-0.52,-0.19
-8.53,-11.86,1.32,-0.33,-1.67,0.19
-10.35,-8.57,-0.02,-1.49,-0.65,-0.61
-8.01,-9.78,1.09,-0.48,0.05,-0.10
-5.25,-8.06,-3.48,-0.84,0.04,-0.87
-3.99,-14.52,-0.82,-0.36,-0.99,-0.01
-7.76,-7.96,-1.86,-3.51,-1.34,-0.66
-6.51,-6.46,-2.31,-0.41,-0.30,-0.12
-0.23,-7.77,-3.37,-2.25,0.70,-0.66
-3.47,-6.08,-5.64,-2.57,-0.68,-0.50
-6.33,-6.82,-5.52,-1.32,-1.31,-0.39
-4.40,-8.74,-5.60,-1.92,0.06,-0.51
-7.81,-6.78,-6.19,-2.83,-0.44,-0.37
-7.25,-2.61,-8.19,-2.12,0.24,0.51
0.57,-0.03,-8.63,-0.89,1.57,0.06
-4.10,-7.80,-9.44,-1.69,-1.45,-0.12
-6.28,0.24,-8.17,-2.30,0.19,0.17
-4.17,-0.05,-9.56,-0.56,2.20,-0.12
6.28,-5.07,-11.54,-0.28,1.85,-0.14
-4.28,-7.60,-5.90,-4.30,-2.14,0.91
-6.04,10.21,-12.80,-1.69,0.67,0.45
-0.44,-4.41,-8.43,-1.10,1.06,0.57
-5.47,4.86,-9.16,-1.76,0.64,0.31
2.61,-0.95,-9.32,0.22,1.65,1.13
2.12,-0.21,-9.84,-2.04,-0.46,0.33
-5.62,9.50,-10.81,-1.31,-0.38,0.83
2.06,3.71,-10.00,0.45,2.03,0.67
-2.44,-0.46,-9.39,-1.75,-0.27,0.72
0.66,6.67,-9.62,0.75,0.12,1.60
0.59,2.47,-9.56,-1.88,0.46,0.57
4.03,3.77,-10.68,-0.85,-0.20,0.42
-1.72,6.95,-9.57,-1.46,-0.06,-0.00
4.62,7.15,-8.79,0.06,1.20,-0.17
3.31,7.64,-6.22,-0.33,0.21,-0.36
2.54,4.86,-8.11,0.50,0.22,0.07
3.00,7.11,-9.87,-0.16,0.03,0.13
-2.70,4.41,-8.23,-0.38,-1.02,0.15
-1.26,7.77,-8.70,0.79,0.70,0.17
3.76,0.56,-8.80,0.15,0.67,0.17
0.75,7.75,-10.50,-0.28,-0.28,0.48
2.72,5.60,-8.02,1.53,2.77,0.19
7.68,0.34,-7.48,-0.04,-0.56,-0.11
1.50,5.77,-10.15,-0.98,-1.15,-0.06
-0.19,6.70,-9.73,0.31,0.72,-0.25
3.45,3.72,-8.79,0.10,-0.05,0.09
0.84,5.86,-9.13,0.08,0.10,0.04
3.52,3.33,-9.17,0.22,0.41,0.05
2.46,4.19,-9.61,0.04,0.34,-0.02
4.48,3.67,-9.07,0.12,0.16,0.02
2.32,4.47,-9.50,-0.18,-0.10,-0.09
2.70,4.22,-9.05,0.07,0.19,-0.01
3.04,4.04,-8.91,0.10,0.07,0.10
3.29,4.49,-9.35,0.02,0.08,0.03
2.82,4.52,-9.31,-0.08,0.10,-0.06
3.58,3.49,-9.19,0.05,0.07,0.03
2.58,4.25,-9.41,-0.07,-0.02,0.03
3.20,3.73,-9.18,-0.02,0.12,0.03
3.46,3.95,-9.58,-0.05,0.09,-0.03
2.86,3.84,-9.55,-0.15,-0.06,-0.03
2.61,3.95,-9.39,-0.04,0.10,-0.15
3.14,3.73,-9.17,-0.00,-0.09,0.08
2.95,4.16,-9.34,0.01,0.06,0.04
3.22,4.06,-9.21,-0.11,-0.02,-0.01
2.62,4.30,-9.26,-0.02,0.09,-0.00
3.81,3.56,-9.29,-0.03,0.07,-0.11
2.81,4.42,-9.60,-0.30,-0.17,-0.12
3.22,2.66,-9.64,0.12,-0.15,0.00
0.81,4.84,-10.68,-0.28,-0.81,0.29
4.74,3.47,-8.57,0.28,0.18,0.00
1.52,4.63,-8.54,-0.47,-1.27,0.26
0.49,5.88,-9.50,0.40,0.56,-0.08
3.96,3.04,-9.91,-0.11,-0.45,0.12
0.89,7.28,-9.84,0.53,0.17,0.04
2.78,5.72,-9.05,1.06,0.69,-0.18
0.80,4.05,-11.50,1.28,0.68,0.13
2.37,2.52,-8.87,1.82,1.21,-0.01
7.56,0.87,-6.97,1.81,0.13,0.52
4.89,0.37,-10.23,1.51,-0.44,0.14
6.72,0.82,-10.49,1.19,0.10,-0.61
6.26,-2.01,-10.05,1.34,-1.63,0.81
3.34,1.21,-12.02,0.37,-1.44,0.41
-3.62,-1.45,-11.03,0.84,-1.03,0.23
0.12,0.63,-11.51,1.82,1.19,0.64
5.29,-2.81,-8.94,2.40,0.88,1.01
