accx,accy,accz,gyrox,gyroy,gyroz
-5.93,-7.26,-2.85,0.10,0.00,0.11
-6.55,-6.60,-3.06,-0.03,-0.07,-0.02
-6.07,-7.19,-2.83,0.25,0.17,-0.03
-6.08,-7.20,-3.04,-0.01,-0.01,-0.05
-6.35,-7.44,-3.10,0.13,0.14,0.04
-5.95,-6.98,-3.20,0.03,0.23,-0.03
-5.93,-7.96,-3.20,0.07,0.31,0.09
-6.49,-7.28,-3.06,-0.16,0.40,0.14
-6.25,-7.29,-2.92,-0.17,0.59,0.47
-5.76,-5.20,-2.87,0.02,0.44,0.23
-4.03,-6.80,-2.59,0.23,0.03,0.29
-9.44,-6.67,-4.41,-0.76,-0.72,0.09
-6.60,-8.16,-3.13,-0.03,0.10,0.91
-8.34,-5.72,-3.76,-1.10,-0.51,0.36
-7.47,-6.40,-4.12,-0.53,0.08,0.48
-7.95,-5.77,-3.80,-0.97,-0.47,0.44
-6.62,-5.41,-3.64,-1.15,0.09,0.20
-8.87,-3.61,-4.12,-1.17,-0.51,0.54
-8.01,-4.58,-3.99,-0.83,0.28,0.52
-7.64,-3.19,-4.11,-1.21,-0.10,0.72
-8.34,-1.20,-4.45,-0.58,0.81,0.33
-5.65,-3.04,-3.29,-1.00,0.02,0.41
-8.88,-1.68,-4.76,-1.24,0.37,0.42
-8.34,0.05,-5.52,-0.91,0.50,0.24
-8.16,-2.03,-5.70,-0.95,0.28,-0.21
-6.76,-1.16,-7.09,0.28,1.05,-0.83
-8.33,-4.83,-6.42,0.17,-0.66,-0.57
-2.81,-0.04,-5.29,-0.80,-0.21,-1.69
-7.66,-1.86,-6.31,-0.19,-0.15,-1.56
-7.12,-9.15,-5.18,1.01,-1.76,0.59
-6.49,0.62,-5.00,-2.32,0.40,-2.38
-7.59,-8.59,-5.45,0.64,0.32,-0.50
-7.97,-4.82,-6.77,0.17,-0.18,-0.21
-4.36,-6.97,-5.02,0.10,0.59,-0.19
-9.52,-4.02,-5.94,-0.74,0.64,-0.65
-2.76,-8.05,-5.36,0.72,1.06,-0.33
-7.60,-3.21,-6.32,-1.94,-0.84,-0.62
-6.61,-7.75,-6.64,0.54,2.05,-0.05
-4.40,-3.30,-5.94,-1.73,-0.17,-0.47
-4.35,-5.42,-6.47,-0.06,1.89,-0.72
-4.13,-6.22,-8.93,-1.31,0.46,-0.49
-5.03,-6.08,-6.12,-2.31,0.57,0.69
-3.45,-4.25,-9.03,-0.59,0.52,0.51
-0.47,-0.21,-8.55,-1.71,0.75,-0.19
-3.41,-1.51,-9.31,-1.39,1.10,-0.30
-2.37,-1.65,-9.48,-1.12,1.33,-0.20
-2.14,-4.08,-10.16,-0.08,0.80,0.52
2.97,5.93,-12.11,-2.63,0.42,-0.20
-2.65,-2.82,-11.04,-1.50,1.90,-0.03
-1.57,1.39,-14.42,-0.68,0.46,0.46
3.79,4.00,-10.82,0.66,2.11,-0.13
4.06,-2.84,-8.65,-1.34,-0.95,0.36
-2.01,7.58,-12.01,-0.09,0.59,0.30
2.67,-0.96,-9.98,-1.04,1.63,-0.33
1.78,1.23,-10.35,-0.41,-1.02,0.63
-0.80,3.20,-10.74,0.04,0.60,0.29
3.38,1.46,-10.02,-0.16,0.58,0.07
2.94,1.69,-11.25,-0.34,0.13,-0.06
0.58,1.06,-10.00,-0.35,-0.21,0.13
-0.01,3.76,-10.40,0.11,0.33,0.10
3.12,0.11,-10.14,0.09,0.58,0.07
0.18,3.31,-10.66,-0.60,-0.19,0.01
2.30,1.39,-10.38,0.61,0.85,0.12
3.38,1.75,-10.26,-0.38,-0.10,-0.08
1.53,3.06,-10.24,0.09,0.37,-0.13
3.60,1.38,-9.87,0.21,0.27,-0.13
2.46,1.12,-10.41,-0.02,0.17,-0.22
1.90,0.59,-10.74,0.18,0.34,-0.08
2.87,1.45,-10.42,-0.21,0.05,0.05
1.94,2.43,-10.37,-0.65,-0.13,0.25
2.90,2.64,-9.17,-0.34,-0.13,0.52
2.47,2.87,-10.38,-0.37,0.00,0.60
3.99,4.46,-9.69,-0.18,0.33,0.08
3.82,2.49,-9.81,0.36,0.36,-0.07
4.73,-0.56,-9.52,-0.06,-0.17,-0.11
2.09,2.96,-10.38,-0.33,-0.45,-0.07
2.40,2.06,-10.38,0.09,0.20,-0.16
2.70,1.62,-10.51,-0.18,-0.18,0.02
1.93,2.45,-10.10,0.00,0.09,-0.01
3.11,2.64,-9.97,-0.15,-0.09,0.06
2.25,2.67,-9.98,0.00,0.01,0.05
2.84,2.49,-9.99,-0.10,0.01,0.00
2.41,2.30,-10.13,0.05,0.14,0.01
3.23,2.03,-10.10,-0.07,-0.00,0.03
2.42,2.41,-10.23,-0.02,0.02,0.02
3.21,2.17,-10.07,-0.11,-0.05,-0.02
2.58,2.68,-10.02,-0.18,-0.14,-0.05
2.52,2.55,-10.10,-0.04,0.09,-0.04
2.78,2.30,-9.98,-0.12,-0.04,-0.04
2.31,2.62,-10.08,-0.04,0.05,0.01
2.69,2.26,-10.11,-0.03,0.04,0.02
2.81,2.06,-10.07,-0.03,0.04,0.00
2.69,2.27,-9.73,-0.21,-0.15,-0.01
2.34,2.80,-10.08,0.06,0.08,0.05
2.85,2.59,-9.87,-0.03,0.03,0.01
