accx,accy,accz,gyrox,gyroy,gyroz
-6.51,-7.00,-3.63,-0.31,-0.06,-0.08
-5.09,-7.17,-3.62,0.28,0.55,0.01
-2.64,-8.82,-3.53,0.04,-0.39,-0.00
-5.55,-7.18,-3.56,-0.07,-0.56,-0.10
-4.64,-8.05,-3.21,0.34,-0.11,-0.25
-4.61,-8.40,-3.00,-0.10,-0.47,-0.29
-5.70,-7.60,-2.64,-0.01,-0.05,-0.09
-3.50,-8.59,-3.45,0.32,0.26,0.03
-3.93,-9.28,-2.65,-0.04,-0.37,0.05
-4.42,-8.86,-3.52,0.05,-0.52,0.21
-4.87,-7.83,-2.77,-0.02,-0.10,-0.29
-3.56,-9.61,-2.58,-0.09,-0.08,-0.04
-5.09,-8.54,-2.93,-0.08,-0.06,0.10
-3.82,-8.32,-3.34,-0.02,0.31,0.03
-3.78,-8.26,-2.94,-0.20,-0.07,0.21
-3.92,-6.53,-3.42,-0.12,0.20,0.24
-2.99,-7.60,-2.73,0.14,0.17,0.30
-3.96,-6.11,-3.77,-0.15,0.16,0.13
-3.67,-8.40,-3.43,0.51,0.32,0.23
-3.62,-8.41,-2.85,0.07,-0.00,0.24
-5.77,-8.88,-3.40,0.16,0.02,0.18
-5.87,-11.93,-0.96,0.00,-0.34,0.45
-5.69,-5.78,-2.35,0.02,-0.31,0.28
-6.19,-11.03,-1.17,0.17,-0.10,-0.04
-6.31,-9.32,-1.53,-0.64,-1.15,0.12
-11.61,-7.13,-1.64,-0.42,-0.60,0.36
-9.22,-9.52,-2.32,0.55,1.02,0.10
-4.37,-8.96,-3.03,-0.00,0.79,-0.11
-5.27,-6.08,-2.84,-0.15,-0.06,0.15
-4.04,-3.75,-2.27,0.37,0.36,-0.01
-2.04,-5.62,-2.11,0.49,0.33,-0.10
-3.93,-6.31,-2.73,-0.04,-0.71,0.07
-5.14,-5.46,-2.32,0.51,-0.32,-0.33
-4.72,-5.91,-3.20,0.37,-0.31,-0.85
-4.19,-6.37,0.34,0.86,-1.90,0.77
-7.35,-6.12,0.69,0.49,0.01,-0.76
-6.96,-11.40,1.36,0.87,-0.65,-0.20
-6.83,-11.94,1.97,1.28,0.06,-1.00
-6.91,-12.42,1.18,-0.29,0.36,-0.76
-6.58,-13.03,1.81,0.56,0.74,-0.19
-2.39,-12.03,1.41,0.19,0.65,0.20
-4.81,-9.25,0.12,-0.61,0.31,-0.01
-2.98,-8.53,0.27,-0.06,0.31,0.12
-1.86,-5.75,-0.55,-0.21,0.30,-0.06
-2.37,-7.04,-0.07,0.22,0.06,0.12
-3.75,-6.62,-0.93,-0.03,-0.18,0.06
-4.33,-5.81,-0.65,0.30,0.56,-0.04
-1.87,-6.18,-0.32,0.17,0.17,0.11
-4.21,-6.33,-1.54,0.65,0.85,0.42
-1.43,-10.86,1.21,1.14,-0.05,0.63
-7.41,-11.50,2.71,-0.27,-0.77,0.32
-6.73,-12.75,2.90,0.39,-0.92,0.20
-10.06,-7.45,3.53,-0.70,-1.10,0.09
-7.67,-9.94,4.05,0.56,0.37,-0.02
-7.69,-8.95,2.39,-1.37,0.10,-0.15
-6.85,-5.95,1.01,0.19,0.55,0.13
-2.67,-6.94,1.28,-0.25,0.12,0.01
