accx,accy,accz,gyrox,gyroy,gyroz
-4.89,-8.21,-3.31,-0.07,0.01,0.08
-6.40,-6.26,-3.24,-0.41,-0.05,-0.11
-5.76,-6.97,-3.78,-0.09,0.16,-0.34
-4.85,-8.36,-3.05,0.06,0.04,0.05
-6.17,-5.33,-3.34,-0.26,0.26,-0.11
-3.11,-9.29,-3.81,0.27,0.02,-0.03
-5.79,-9.59,-4.11,-0.29,-1.07,0.11
-7.66,-6.93,-4.67,-0.29,-0.06,-0.18
-4.79,-6.44,-3.60,0.40,0.42,-0.00
-3.71,-6.55,-3.32,-0.02,0.36,0.17
-3.41,-6.47,-3.14,0.00,0.15,0.22
-4.86,-5.90,-3.90,-0.22,0.25,0.23
-4.15,-6.87,-3.97,0.35,0.14,0.48
-5.88,-6.45,-4.03,-0.30,0.55,0.04
-3.60,-6.22,-4.23,0.24,0.75,0.24
-3.68,-8.67,-4.24,0.23,-0.61,0.15
-6.69,-11.06,-2.16,-0.78,-0.25,-0.02
-10.12,-7.33,-3.13,-0.33,-0.66,-0.18
-7.79,-10.92,-2.56,-0.18,0.00,-0.60
-10.26,-8.83,-2.71,-0.39,-0.89,-0.08
-9.57,-6.09,-2.56,0.28,0.86,-0.19
-5.39,-7.29,-3.00,0.31,0.95,0.03
-4.50,-5.63,-2.76,0.09,0.12,0.11
-4.73,-5.44,-2.88,0.34,0.22,0.02
-5.72,-5.92,-2.51,0.07,0.02,0.14
-5.08,-5.20,-2.89,0.22,0.38,0.16
-3.94,-6.33,-2.97,-0.07,0.11,0.02
-4.85,-5.43,-3.62,-0.25,-0.42,0.11
-4.92,-6.48,-2.40,-0.25,-0.46,0.18
-7.40,-6.06,-3.30,-0.69,-0.26,0.10
-8.32,-6.62,-2.93,-0.30,-0.17,0.00
-8.22,-8.45,-3.66,-0.05,0.22,0.08
-7.60,-10.64,-2.83,0.40,-0.03,0.14
-7.47,-8.18,-3.64,-0.68,0.45,-0.40
-7.23,-9.17,-4.20,0.17,0.44,-0.15
-5.95,-6.74,-3.89,-0.02,0.21,-0.04
-5.32,-6.11,-3.76,0.27,0.66,-0.02
-3.26,-6.15,-2.71,0.23,0.17,0.05
-2.48,-5.64,-3.63,0.29,-0.07,0.00
-6.07,-7.05,-3.24,-0.14,-0.28,0.13
-4.17,-4.85,-3.28,0.09,0.47,-0.02
-3.47,-5.61,-3.28,0.01,0.61,-0.10
-3.48,-6.38,-4.10,0.05,0.34,0.17
-6.07,-10.06,-4.50,-0.01,-1.06,0.11
-10.05,-13.83,-1.38,-0.44,-1.08,0.32
-10.88,-5.30,-4.76,-0.59,-0.25,-0.35
-8.65,-10.58,-1.95,0.16,-0.76,0.44
-7.23,-4.13,-3.81,0.04,-0.22,0.15
-6.86,-9.39,-1.53,-0.41,-0.04,-0.22
-5.69,-3.90,-2.84,-0.01,0.88,-0.15
-2.49,-5.53,-3.09,-0.06,0.58,-0.45
-5.72,-5.74,-3.33,-0.17,0.06,-0.28
-4.93,-5.42,-3.33,0.02,0.03,-0.33
-3.39,-5.68,-3.75,-0.20,0.01,-0.29
-5.09,-5.53,-2.87,-0.38,-0.55,0.00
-4.36,-5.28,-3.42,-0.22,-0.04,0.14
-7.19,-8.17,-3.83,-0.32,-0.84,0.19
