accx,accy,accz,gyrox,gyroy,gyroz
-6.63,-6.05,-2.31,-0.10,0.02,-0.01
-7.65,-5.74,-1.89,-0.40,-0.26,-0.10
-8.80,-5.09,-2.87,-0.12,0.05,-0.07
-6.60,-6.09,-2.43,-0.24,-0.13,-0.14
-6.93,-5.04,-2.56,-0.35,-0.32,-0.26
-7.26,-5.67,-3.07,-0.16,-0.32,-0.06
-8.56,-5.58,-3.49,-0.43,-0.38,-0.28
-9.02,-5.83,-3.45,-0.08,0.08,-0.24
-7.05,-4.14,-3.24,0.20,0.23,-0.02
-5.45,-4.66,-2.42,0.49,0.15,0.00
-4.98,-4.84,-2.47,0.38,-0.05,0.12
-7.11,-2.61,-2.89,0.57,0.70,0.13
-4.73,-8.32,-2.05,1.06,0.47,0.48
-7.79,-5.58,-3.81,-0.06,0.62,-0.04
-5.70,-6.45,-2.79,0.52,1.13,0.10
-8.74,-8.92,-2.57,-0.34,-0.44,-0.08
-8.71,-5.45,-2.20,-0.07,0.82,-0.36
-9.63,-9.15,-1.83,-0.17,-1.17,0.18
-15.62,-5.09,-2.80,-0.71,0.44,-0.06
-6.54,-4.67,-3.64,0.94,0.84,0.40
-2.98,-5.30,-2.14,0.08,-0.07,0.22
-8.75,-5.03,-3.45,-0.60,-0.51,-0.06
-6.81,-5.54,-2.59,-0.08,-0.08,-0.11
-7.47,-2.59,-1.60,-0.82,-0.78,-0.32
-8.01,-4.06,-2.68,-0.14,-0.09,-0.11
-6.78,-4.33,-1.81,-0.24,-0.49,0.04
-7.65,-3.34,-2.81,-0.58,0.02,-0.27
-6.11,-4.19,-2.17,-0.21,0.33,-0.21
-6.23,-4.89,-2.43,-0.70,-0.46,-0.07
-7.61,-3.05,-2.83,0.06,0.59,-0.07
-8.00,-12.89,-0.45,0.21,-0.50,-0.61
-18.17,-14.27,-4.49,-0.83,-0.63,-0.58
-11.33,-6.47,-3.33,-0.21,1.42,-0.29
-4.77,0.22,-2.59,0.22,0.91,0.20
-1.84,-4.15,-2.28,0.82,0.96,0.07
-2.98,-6.25,-2.00,0.62,-0.56,0.37
-8.51,-6.93,-2.76,0.28,-0.14,-0.20
-5.35,-4.59,-2.76,0.50,1.03,-0.18
-3.97,-7.04,-3.01,0.11,0.32,0.02
-6.93,-6.77,-3.67,-0.10,-0.09,0.01
-5.69,-6.29,-3.17,0.05,0.48,0.24
-9.36,-7.98,-2.78,-0.73,-0.37,-0.12
-6.63,-3.90,-2.77,0.15,1.23,0.51
-14.88,-13.99,-2.97,-0.82,-2.56,0.62
-13.58,-2.18,-3.80,-0.41,1.36,-0.15
-3.29,-6.47,-3.05,0.30,0.41,0.16
-7.56,-4.26,-3.84,-0.55,-0.76,0.42
-7.07,-4.41,-3.18,-0.14,0.35,-0.18
-6.88,-4.85,-2.58,-0.27,-0.34,-0.12
-6.85,-3.24,-2.99,-0.31,-0.02,-0.19
-7.00,-3.54,-3.19,-0.12,-0.18,0.13
-5.18,-3.13,-2.89,-0.16,0.54,-0.06
-6.18,-4.09,-2.64,-0.11,0.19,0.31
-9.16,-8.83,-2.90,0.24,-0.60,0.35
-10.11,-6.89,-3.80,-0.10,0.51,-0.25
-8.83,-8.95,-4.93,0.70,-0.56,0.20
-13.81,-7.64,-4.12,-0.96,0.65,-0.92
