accx,accy,accz,gyrox,gyroy,gyroz
-4.80,-8.01,1.54,0.53,0.48,-0.47
-7.50,-6.29,1.60,0.02,-0.19,-0.08
-6.73,-6.66,2.11,0.57,0.52,-0.12
-5.57,-6.69,2.18,0.27,-0.09,-0.08
-8.50,-6.85,1.98,0.01,0.25,0.02
-6.22,-7.09,1.62,-0.08,0.62,0.13
-6.27,-6.99,1.03,-0.14,0.43,0.26
-5.75,-7.51,1.02,-0.39,-0.08,-0.15
-8.22,-7.01,1.11,-0.47,-0.13,0.13
-6.79,-6.42,0.54,-0.07,0.48,0.19
-6.73,-7.37,0.08,-0.27,0.27,0.08
-6.02,-6.03,0.11,-0.35,0.38,0.07
-5.35,-6.93,-0.39,-0.37,-0.11,-0.18
-4.83,-7.56,-0.50,-0.39,-1.51,-0.11
-12.17,-6.62,1.63,-0.24,-1.52,0.14
-8.37,-4.32,1.31,0.42,1.05,-0.19
-4.37,-7.39,0.88,0.49,0.91,0.09
-6.29,-7.19,-0.21,-0.19,0.27,-0.01
-6.65,-8.37,0.97,0.02,0.36,0.24
-7.70,-6.63,-1.53,-0.52,0.09,0.36
-8.53,-7.50,3.84,0.02,0.43,0.57
-9.64,-4.63,-0.59,-1.11,3.13,0.03
1.12,-5.15,-1.39,1.81,0.61,0.49
-7.83,-10.19,1.23,-1.22,-1.66,0.26
-12.98,-2.52,-1.00,0.33,-0.42,-0.17
-6.63,-9.29,-1.28,-0.43,2.08,-0.88
-9.94,-9.55,-1.13,-0.08,0.12,0.21
-6.46,-2.16,-3.15,-0.54,1.46,-2.09
-2.63,-7.87,0.13,3.42,-2.34,0.89
-8.50,-7.79,4.11,0.32,-2.18,-0.48
-9.28,-8.10,1.87,-0.98,1.42,-0.13
-4.70,-5.65,-1.74,-1.21,0.38,-0.33
-4.46,-6.68,2.06,0.85,-2.14,-0.10
-7.30,-9.94,3.22,-1.37,-1.38,-0.70
-9.44,-6.33,-0.31,-0.88,0.02,0.19
-6.00,-6.47,1.12,-0.12,0.03,0.27
-8.63,-7.19,1.25,0.26,0.69,0.22
-3.41,-8.53,-0.32,-0.62,1.55,0.40
-3.89,-5.93,-1.42,-0.63,-1.05,0.33
-7.79,-6.32,-0.26,-0.24,-0.83,-0.27
-7.19,-8.04,-1.04,-0.22,-0.31,-0.60
-7.97,-8.74,-0.14,-0.28,-0.24,-1.05
-5.73,-6.37,-1.30,0.36,0.44,-0.79
-1.99,-8.42,-0.18,0.49,-0.40,-0.19
-5.76,-7.90,-1.03,0.20,-0.74,0.16
-5.05,-8.85,1.34,0.52,-0.62,0.25
-8.92,-6.04,1.33,0.36,0.25,-0.36
-1.35,-9.20,1.98,0.77,-0.05,-0.39
-8.71,-8.49,2.11,-0.29,-0.61,-0.58
-6.39,-8.96,2.90,0.87,0.44,-0.33
-6.16,-8.12,3.03,0.15,-0.11,-0.19
-3.98,-6.78,2.35,0.10,0.80,-0.40
-2.84,-7.73,2.53,-0.30,-0.41,0.02
-5.89,-7.18,2.37,-0.28,-0.01,-0.01
-3.07,-7.74,2.18,-0.36,-0.73,-0.54
-4.25,-6.84,1.24,-0.77,0.17,-0.49
-2.87,-10.72,3.31,0.43,-0.75,0.54
-7.29,-7.88,2.89,-0.36,-0.46,-0.08
-3.89,-9.46,1.29,-0.09,0.65,-0.45
-2.80,-9.38,1.27,-0.24,-0.52,0.08
-5.64,-7.23,1.44,0.08,0.02,-0.15
-2.48,-9.13,2.09,0.06,-0.01,0.04
-4.44,-7.85,1.18,-0.03,-0.08,0.10
-3.57,-8.16,1.65,0.11,-0.04,0.09
-4.60,-7.66,1.44,0.18,-0.11,0.15
-6.82,-9.67,5.54,0.54,-0.33,0.26
-3.29,-6.72,2.68,0.07,0.63,0.06
-4.07,-9.21,2.59,-0.16,0.34,0.21
-6.36,-8.04,2.33,0.03,-0.05,0.22
-5.32,-8.30,2.96,0.12,0.35,-0.11
-6.48,-7.24,2.80,-0.11,0.22,-0.31
-4.25,-6.58,2.60,-0.05,0.63,-0.42
-2.90,-7.03,2.25,-0.14,-0.05,-0.05
-5.17,-7.26,2.51,-0.00,0.06,-0.01
-4.11,-8.81,3.00,-0.07,-0.08,0.09
-5.69,-8.22,2.59,-0.60,-0.30,0.15
-4.02,-7.64,1.61,-0.31,0.06,-0.04
-4.32,-9.01,1.76,-0.08,-0.62,0.28
-8.75,-10.18,3.17,-0.14,-0.17,-0.04
-2.14,-6.42,1.11,-0.01,0.70,-0.31
-3.00,-9.45,1.06,-0.27,-0.47,0.05
-6.22,-7.78,1.53,0.12,-0.21,-0.01
-3.58,-7.05,0.81,0.34,0.19,-0.42
-2.40,-10.03,4.25,0.21,-0.10,-0.00
-4.81,-6.76,1.46,-0.39,-0.14,0.11
-5.74,-8.90,1.57,0.34,0.61,-0.00
-2.84,-8.07,1.67,0.22,0.27,0.21
-6.04,-8.51,2.85,-0.20,0.10,0.00
-4.11,-8.79,2.34,0.21,0.50,-0.04
-5.37,-8.57,3.31,-0.62,-0.32,-0.24
-7.73,-6.46,3.28,0.40,0.23,-0.21
-4.22,-8.55,2.90,0.11,0.23,-0.42
-5.08,-7.06,2.31,-0.08,0.23,-0.33
-2.46,-7.52,2.72,0.05,0.26,-0.09
