accx,accy,accz,gyrox,gyroy,gyroz
-1.53,-8.60,1.34,0.01,0.26,0.04
-2.39,-8.21,0.91,-0.30,0.02,0.14
-3.15,-6.38,1.43,-0.52,-0.15,0.33
-6.37,-8.29,-0.11,-0.08,-0.16,0.48
-3.24,-11.39,3.31,0.09,-1.22,1.25
-17.75,-12.60,2.01,-0.70,-1.91,0.39
-4.46,-14.83,7.15,0.52,0.11,-0.92
-11.25,-14.73,4.05,0.03,0.20,-1.05
6.63,-2.58,-3.86,-3.00,1.57,-1.54
-4.35,4.70,-1.91,1.04,-0.95,-0.59
6.13,-5.74,1.52,0.25,2.94,-0.28
-1.39,1.76,-2.09,-0.52,-1.01,0.54
-0.51,-7.06,0.21,1.24,2.09,0.86
-11.62,-15.82,3.02,0.32,-1.28,1.04
3.88,-24.58,6.06,-0.70,1.74,0.30
-24.73,-20.68,-1.46,-1.63,-3.15,1.29
-5.35,-11.02,-2.79,0.67,2.18,-1.20
7.33,-5.21,2.16,0.41,-1.54,-0.14
-6.25,6.13,-0.50,-1.60,-3.15,-0.63
7.05,7.36,6.64,1.82,1.22,0.56
-1.65,-3.64,0.08,-1.01,-0.60,0.44
-4.07,-7.34,1.33,-1.35,-0.05,0.97
-19.64,-18.83,-0.28,0.22,-1.44,0.47
-7.21,-30.66,-0.91,-1.79,0.32,-0.45
-17.89,-6.42,2.70,-1.39,-3.11,-1.39
-10.89,-11.08,4.55,2.40,2.64,-1.68
14.22,-3.67,1.30,-2.13,1.68,-0.90
-5.93,5.62,-0.98,-0.03,-2.61,-0.38
8.51,0.60,2.59,1.27,1.17,0.29
-1.30,-3.62,-0.63,1.74,0.50,-0.63
-4.92,-19.50,10.65,4.07,0.02,1.62
-17.66,-47.35,8.80,-1.31,2.07,-4.20
-8.19,-9.30,1.74,-3.35,-3.92,2.76
-10.12,-18.19,-3.59,-0.64,2.90,-1.32
3.26,0.34,5.49,1.08,-2.09,-0.85
-4.06,-0.54,1.29,-0.05,-0.29,-0.51
7.09,7.47,1.95,-0.82,0.19,-0.22
-6.32,-2.42,-3.16,1.22,-0.76,1.02
5.85,-6.16,4.86,0.50,0.03,0.07
-15.06,-23.11,6.32,0.91,-1.27,-0.07
-9.61,-20.38,5.41,-4.13,0.07,0.34
-15.98,-14.02,-1.64,0.58,1.15,-0.82
-5.50,-9.10,-1.36,-0.22,1.38,-4.37
2.03,-0.05,1.61,-2.28,2.09,-0.90
3.22,4.96,-0.36,-2.48,2.17,-0.70
1.80,0.44,0.73,1.30,2.18,1.49
0.68,-2.13,-0.41,2.60,-0.18,-0.43
-3.85,-13.23,-1.19,3.23,-1.25,0.13
-3.85,-21.55,5.28,4.26,1.09,1.41
-5.97,-24.04,6.08,0.03,0.03,-0.82
-4.48,-15.44,4.94,-1.39,0.94,0.57
0.06,-7.16,3.47,-3.49,0.68,0.31
2.63,8.04,2.82,-2.96,-0.12,-1.82
5.83,12.53,3.79,0.25,-1.46,-0.52
-7.97,0.56,-2.67,4.37,-2.73,0.82
-2.58,-7.80,3.07,1.65,-3.15,3.57
-26.94,-33.21,11.89,-0.57,-0.13,3.27
-15.02,-21.57,4.21,-2.34,0.99,0.17
-8.58,-17.61,-1.35,-0.30,-0.24,-0.46
-6.38,-18.78,14.57,0.56,0.17,-4.17
