accx,accy,accz,gyrox,gyroy,gyroz
-4.73,-8.24,1.82,0.05,-0.09,-0.03
-4.74,-8.11,1.73,-0.02,0.05,-0.01
-4.77,-8.24,1.68,-0.05,0.16,0.01
-4.80,-8.20,1.41,-0.03,0.06,-0.00
-4.74,-8.16,1.62,-0.03,-0.08,-0.03
-4.74,-8.25,1.67,-0.05,0.01,-0.02
-4.71,-8.18,1.64,-0.04,-0.01,-0.02
-4.71,-8.26,1.74,-0.08,0.05,-0.01
-4.76,-8.19,1.66,0.04,0.07,0.01
-4.69,-8.17,1.70,-0.04,0.02,-0.01
-4.74,-8.20,1.83,-0.01,0.09,0.01
-4.75,-8.22,1.82,-0.10,0.06,0.00
-4.76,-8.20,1.56,-0.24,0.01,-0.04
-4.68,-8.25,1.53,-0.10,-0.03,-0.02
-4.73,-8.23,1.58,-0.03,-0.02,-0.02
-4.63,-8.24,1.70,0.05,-0.01,0.00
-4.74,-8.21,1.76,-0.04,0.12,0.06
-4.64,-8.08,1.46,-0.22,-0.01,-0.08
-4.74,-8.09,1.66,-0.12,0.13,-0.02
-4.63,-8.92,1.70,-0.05,0.13,0.09
-5.48,-7.93,1.80,-0.01,0.17,0.02
-4.53,-7.54,3.05,-0.07,-0.28,0.15
-4.37,-7.58,2.54,-0.18,0.01,0.05
-4.74,-7.93,2.16,-0.21,0.20,0.13
-4.61,-8.08,2.06,-0.62,0.41,0.13
-4.70,-7.97,1.44,-0.86,0.32,0.21
-4.84,-7.98,1.31,-0.81,0.23,0.23
-4.95,-7.87,0.72,-0.99,0.25,0.30
-4.75,-7.79,0.54,-0.83,0.12,0.26
-4.81,-8.29,0.31,-0.18,0.05,0.22
-7.05,-9.19,-1.29,-0.30,-0.77,0.32
-8.50,-9.99,-1.74,0.04,-0.15,0.93
-8.02,-6.41,-2.04,0.61,1.14,-0.32
-8.40,-9.57,-2.88,-0.77,0.70,-0.14
-8.72,-9.62,-3.26,-0.54,-0.32,0.09
-8.11,-9.38,-2.72,-0.28,-0.88,0.06
-7.99,-8.74,-2.38,-0.54,-0.40,-0.05
-7.79,-8.18,-2.18,-0.19,-0.28,0.07
-7.04,-7.54,-2.00,-0.05,-0.31,-0.16
-6.56,-7.20,-1.79,-0.15,-0.59,-0.15
-6.11,-7.15,-1.28,0.13,-0.64,-0.26
-5.64,-6.74,-1.21,0.50,-0.65,-0.34
-5.37,-7.07,-0.72,0.81,-0.58,-0.42
-4.75,-6.63,-0.50,0.96,-0.36,-0.46
-4.16,-5.99,0.24,0.98,-0.03,-0.41
-4.22,-6.00,0.85,1.16,0.64,-0.31
-4.71,-6.50,1.04,1.00,0.78,-0.29
-4.52,-6.53,2.06,0.43,0.61,-0.40
-4.96,-6.54,2.46,0.25,0.50,-0.46
-4.22,-6.36,1.76,-0.02,0.72,-0.30
-4.70,-6.79,1.37,0.39,0.00,-0.23
-5.37,-8.18,2.39,0.33,-0.17,-0.33
-5.01,-8.57,1.43,-0.40,0.26,-0.31
-4.67,-7.92,1.51,0.61,-0.07,-0.25
-4.69,-7.64,2.13,0.07,-0.07,-0.25
-4.67,-7.69,1.84,-0.34,0.27,-0.11
-4.62,-8.21,1.80,-0.75,0.86,0.06
