accx,accy,accz,gyrox,gyroy,gyroz
0.59,1.15,9.15,-0.49,-0.77,-0.03
1.59,0.85,9.25,-0.75,-0.89,0.03
1.72,0.48,9.99,-1.01,-0.30,0.16
1.47,-0.10,9.55,-1.23,0.69,0.11
1.35,-0.74,9.12,-0.04,0.91,0.19
1.11,-1.76,10.06,-0.63,-0.22,0.38
1.71,-2.59,10.18,-2.61,-1.94,0.34
4.82,-1.98,8.63,-2.63,-1.91,2.35
1.63,-3.24,8.83,-0.49,0.78,0.79
1.97,-3.89,8.24,-1.05,1.14,0.38
0.33,-3.65,8.41,-0.23,0.85,-0.23
0.39,-3.62,8.94,0.40,0.43,0.17
0.54,-5.60,7.24,0.58,1.30,-0.20
-0.13,-3.92,8.36,-0.40,1.68,0.91
-1.51,-4.36,7.97,-1.68,2.17,1.07
-3.45,-4.48,7.67,-1.70,1.48,-0.01
-1.67,-6.26,5.47,-0.43,0.50,-0.00
-2.86,-7.25,7.07,0.23,0.38,0.41
-2.46,-6.60,6.24,-0.75,-0.17,-0.13
-2.80,-6.43,5.82,-0.81,-0.29,0.20
-2.67,-6.63,5.74,0.03,-0.17,-0.12
-2.92,-5.62,4.94,0.33,-0.04,0.09
-2.16,-6.06,5.87,1.20,0.06,0.16
-2.63,-7.26,5.48,0.29,-0.06,0.11
-1.74,-5.89,6.78,-0.51,-0.42,-0.20
-1.62,-6.56,6.55,-0.75,-0.70,-0.33
-1.56,-6.85,6.38,-0.31,0.01,-0.19
-1.49,-6.49,6.37,0.40,0.92,-0.19
-1.78,-6.41,6.11,-0.04,0.79,-0.29
-1.80,-6.05,5.88,-0.29,-0.12,-0.49
-2.42,-6.36,6.42,-0.20,-0.37,-0.55
-3.07,-7.27,6.44,-0.81,0.10,-0.01
-3.21,-7.89,6.08,-1.17,-0.09,0.39
-2.03,-7.69,5.36,-1.10,-0.46,0.61
-2.30,-7.99,5.15,-1.22,-1.15,0.79
-2.47,-7.87,5.97,-1.32,-0.60,0.68
-2.24,-8.72,4.95,-0.73,-0.26,0.41
-2.05,-8.31,4.76,0.06,-0.09,-0.16
-2.42,-7.73,3.54,0.23,0.13,-0.32
-2.14,-5.17,3.33,0.88,-0.80,-0.97
-2.43,-4.76,4.02,2.07,-0.71,-2.11
-2.18,-6.79,5.18,0.66,0.18,-1.64
-0.71,-7.41,6.32,-0.31,1.06,0.27
-1.54,-7.16,6.06,-0.45,0.92,-0.54
-1.24,-7.96,5.78,0.73,1.70,-1.21
-2.25,-8.41,5.69,0.60,2.44,-0.98
-2.03,-6.99,5.40,0.22,1.54,-1.08
-2.49,-7.58,4.75,-0.22,0.70,-1.01
-1.17,-8.42,5.40,0.11,0.30,-1.33
-0.29,-6.25,5.84,-0.18,-0.16,-1.13
0.90,-7.31,5.97,0.72,0.46,-2.17
1.75,-7.07,6.86,-0.00,1.15,-1.39
2.31,-6.88,7.33,-0.24,0.76,-0.37
2.02,-6.40,6.97,-0.10,-0.00,-0.19
2.07,-6.64,7.44,0.16,-0.71,-0.10
1.85,-7.04,8.47,-0.13,-1.08,0.43
1.62,-8.00,8.69,-0.44,-0.44,1.20
2.12,-8.66,8.88,-0.79,-0.50,2.46
-2.19,-9.00,5.70,-1.27,-0.71,3.04
-3.34,-11.68,4.91,-0.45,-0.89,1.11
-4.28,-10.81,4.12,-0.20,-0.68,-0.08
-2.96,-9.25,4.60,0.20,0.62,-0.12
-3.20,-8.89,4.43,-0.21,0.60,-0.09
