accx,accy,accz,gyrox,gyroy,gyroz
4.56,-0.21,7.88,-0.18,-0.22,-0.04
5.42,0.37,7.88,0.38,-0.10,-0.17
5.23,1.55,8.30,0.43,-0.01,0.47
5.11,0.73,7.53,0.10,-0.31,0.34
6.56,2.51,8.95,0.62,-0.81,0.92
7.10,0.34,8.73,-1.38,-2.25,0.54
7.75,-0.48,7.34,-0.65,-0.74,0.42
7.51,-0.50,6.90,-0.52,0.11,0.55
7.78,0.06,6.52,-0.56,-1.19,0.54
7.80,-1.00,6.10,-0.59,-1.17,0.78
7.90,-1.15,5.41,-0.91,-0.21,1.02
7.57,-2.24,5.39,-0.72,0.05,1.00
7.79,-2.81,5.04,-0.73,-0.14,1.05
8.15,-3.73,4.83,-0.85,-0.19,0.92
6.50,-4.38,4.69,-0.91,0.39,1.14
6.15,-4.55,4.92,-0.55,1.27,1.07
5.80,-5.88,6.21,-0.88,0.51,1.18
5.48,-6.36,4.99,-0.83,-0.87,1.04
5.58,-5.78,4.20,-0.72,-0.99,0.89
4.77,-6.79,3.77,-0.51,0.18,1.04
4.21,-6.81,3.48,-0.49,1.27,0.94
3.83,-7.42,4.13,-0.38,0.55,0.65
3.36,-8.11,3.86,-0.22,-0.24,0.44
3.58,-8.10,3.70,-0.33,-0.55,0.53
3.53,-8.33,3.13,-0.33,-0.27,0.44
2.98,-8.69,3.56,-0.40,0.20,0.66
2.59,-8.23,3.38,-0.36,0.37,0.63
2.43,-8.84,3.16,-0.30,0.42,0.67
1.87,-8.97,2.97,-0.18,-0.10,0.48
2.36,-9.10,3.47,0.07,-0.47,0.12
2.23,-9.23,2.93,-0.07,-0.70,0.24
2.64,-9.88,2.65,0.03,0.00,0.26
2.67,-8.95,2.74,0.26,0.15,0.07
2.38,-9.63,3.15,0.72,0.39,0.18
1.98,-9.43,3.22,0.53,0.34,-0.04
1.85,-8.40,3.64,0.69,0.56,-0.30
3.08,-9.64,5.64,0.90,0.27,-0.34
3.18,-7.77,5.10,0.68,0.10,-0.22
2.92,-7.11,5.15,0.61,-0.22,-0.31
3.33,-6.66,5.92,0.43,-0.52,-0.16
3.24,-6.79,5.85,0.21,-0.84,0.38
2.29,-7.56,5.53,-0.49,-0.17,0.35
2.09,-7.47,4.90,-0.37,0.34,-0.12
1.67,-8.44,4.96,-0.09,1.08,-0.63
1.72,-7.72,5.43,-0.21,1.26,-0.82
2.76,-8.65,6.12,-0.61,0.72,-0.16
2.83,-6.91,5.39,-0.26,0.53,-0.24
2.80,-7.73,5.35,-0.33,0.24,-0.02
2.39,-8.04,5.24,-0.13,0.40,-0.32
2.76,-8.91,5.39,-0.81,0.41,0.02
2.42,-7.92,4.75,-0.54,0.71,-0.14
2.07,-8.33,4.62,-0.45,1.18,-0.52
2.95,-8.16,5.60,-0.53,0.96,-0.17
2.16,-7.89,4.48,-0.12,-0.30,0.17
0.97,-7.69,3.68,-0.17,0.38,0.33
0.67,-7.94,4.76,-0.03,0.82,0.32
1.41,-7.86,4.89,-0.45,1.06,0.46
0.58,-8.89,5.21,-0.09,-0.21,0.97
-1.37,-9.05,3.39,-0.63,-0.45,0.66
0.01,-9.09,3.92,-0.02,0.40,-0.29
-0.22,-8.25,3.76,0.26,-0.69,-0.12
-0.64,-8.87,3.97,-0.12,-0.42,0.27
-1.74,-9.22,3.66,-0.51,0.54,0.49
-0.79,-8.67,3.71,-0.59,0.82,0.56
-2.18,-8.98,3.40,-0.65,1.49,0.01
-1.24,-9.35,3.99,-0.59,1.90,-0.46
-1.86,-9.77,3.46,-0.68,1.92,-0.09
-1.24,-9.20,3.54,-0.40,1.57,-0.73
-0.71,-9.44,2.64,0.32,1.32,-1.28
-0.93,-9.64,2.75,0.43,-0.03,-0.96
-0.14,-9.69,2.50,-0.26,-0.01,-0.19
0.25,-8.98,1.30,-0.41,0.27,-0.89
